index	slug	species	source
0	dazt	Drosophila azteca	generated
1	dbif	Drosophila bifasciata	generated
2	dbir	Drosophila birchii	generated
3	dbun	Drosophila bunnanda	generated
4	dequ	Drosophila equinoxialis	generated
5	dfor	Drosophila formosana	generated
6	dfun	Drosophila funebris	generated
7	dimm	Drosophila immigrans	generated
8	dkik	Drosophila kikkawai	generated
9	dmir	Drosophila miranda	generated
10	dnas	Drosophila nasuta	generated
11	dobs	Drosophila obscura	generated
12	dper	Drosophila persimilis	generated
13	dpha	Drosophila phalerata	generated
14	dpse	Drosophila pseudoananassae	generated
15	druf	Drosophila rufa	generated
16	dsub	Drosophila subobscura	generated
17	dsul	Drosophila sulfurigaster	generated
18	dsuz	Drosophila suzukii	generated
19	dtei	Drosophila teissieri	generated
20	dtro	Drosophila tropicalis	generated
21	dvir	Drosophila virilis	generated
22	zdav	Zaprionus davidi	generated
23	zind	Zaprionus indianus	generated
24	ztub	Zaprionus tuberculatus	generated
25	d_affinis	Drosophila affinis	external
26	d_arizonae	Drosophila arizonae	external
27	d_bipectinata	Drosophila bipectinata	external
28	d_buzzatii	Drosophila buzzatii	external
29	d_ezoana	Drosophila ezoana	external
30	d_hydei	Drosophila hydei	external
31	d_littoralis	Drosophila littoralis	external
32	d_lutescens	Drosophila lutescens	external
33	d_melanogaster	Drosophila melanogaster	external
34	d_mercatorum	Drosophila mercatorum	external
35	d_mojavensis	Drosophila mojavensis	external
36	d_novamexicana	Drosophila novamexicana	external
37	d_repleta	Drosophila repleta	external
38	d_serrata	Drosophila serrata	external
39	d_simulans	Drosophila simulans	external
