slug	species	n_peaks	peaks_file
dazt	Drosophila azteca	734	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dazt/peaks_AllSets.bed
dbif	Drosophila bifasciata	521	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dbif/peaks_AllSets.bed
dbir	Drosophila birchii	437	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dbir/peaks_AllSets.bed
dbun	Drosophila bunnanda	468	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dbun/peaks_AllSets.bed
dequ	Drosophila equinoxialis	573	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dequ/peaks_AllSets.bed
dfor	Drosophila formosana	572	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dfor/peaks_AllSets.bed
dfun	Drosophila funebris	558	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dfun/peaks_AllSets.bed
dimm	Drosophila immigrans	517	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dimm/peaks_AllSets.bed
dkik	Drosophila kikkawai	376	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dkik/peaks_AllSets.bed
dmir	Drosophila miranda	519	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dmir/peaks_AllSets.bed
dnas	Drosophila nasuta	527	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dnas/peaks_AllSets.bed
dobs	Drosophila obscura	612	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dobs/peaks_AllSets.bed
dper	Drosophila persimilis	519	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dper/peaks_AllSets.bed
dpha	Drosophila phalerata	538	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dpha/peaks_AllSets.bed
dpse	Drosophila pseudoananassae	403	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dpse/peaks_AllSets.bed
druf	Drosophila rufa	439	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/druf/peaks_AllSets.bed
dsub	Drosophila subobscura	533	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dsub/peaks_AllSets.bed
dsul	Drosophila sulfurigaster	506	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dsul/peaks_AllSets.bed
dsuz	Drosophila suzukii	446	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dsuz/peaks_AllSets.bed
dtei	Drosophila teissieri	362	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dtei/peaks_AllSets.bed
dtro	Drosophila tropicalis	653	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dtro/peaks_AllSets.bed
dvir	Drosophila virilis	465	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/dvir/peaks_AllSets.bed
zdav	Zaprionus davidi	480	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/zdav/peaks_AllSets.bed
zind	Zaprionus indianus	645	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/zind/peaks_AllSets.bed
ztub	Zaprionus tuberculatus	476	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/ztub/peaks_AllSets.bed
d_affinis	Drosophila affinis	561	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_affinis/peaks_AllSets.bed
d_arizonae	Drosophila arizonae	622	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_arizonae/peaks_AllSets.bed
d_bipectinata	Drosophila bipectinata	390	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_bipectinata/peaks_AllSets.bed
d_buzzatii	Drosophila buzzatii	395	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_buzzatii/peaks_AllSets.bed
d_ezoana	Drosophila ezoana	581	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_ezoana/peaks_AllSets.bed
d_hydei	Drosophila hydei	442	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_hydei/peaks_AllSets.bed
d_littoralis	Drosophila littoralis	577	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_littoralis/peaks_AllSets.bed
d_lutescens	Drosophila lutescens	457	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_lutescens/peaks_AllSets.bed
d_melanogaster	Drosophila melanogaster	337	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_melanogaster/peaks_AllSets.bed
d_mercatorum	Drosophila mercatorum	521	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_mercatorum/peaks_AllSets.bed
d_mojavensis	Drosophila mojavensis	557	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_mojavensis/peaks_AllSets.bed
d_novamexicana	Drosophila novamexicana	436	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_novamexicana/peaks_AllSets.bed
d_repleta	Drosophila repleta	559	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_repleta/peaks_AllSets.bed
d_serrata	Drosophila serrata	420	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_serrata/peaks_AllSets.bed
d_simulans	Drosophila simulans	337	/home/jessica/cre_turnover/project/external_scrmshaw/combined_results/d_simulans/peaks_AllSets.bed
