identifier	occurrences
Dmelanogast_M00000013717	23
Dmelanogast_M00000004953	21
Dmelanogast_M00000009444	21
Dmelanogast_M00000001493	17
Dmelanogast_M00000001749	17
Dmelanogast_M00000019509	14
Dmelanogast_M00000029603	14
Dmelanogast_M00000002343	13
Dmelanogast_M00000021286	13
Dmelanogast_M00000001408	12
Dmelanogast_M00000000330	11
Dmelanogast_M00000000451	10
Dmelanogast_M00000006969	10
Dmelanogast_M00000017229	8
Dmelanogast_M00000001958	7
Dmelanogast_M00000002657	6
Dmelanogast_M00000005406	5
Dmelanogast_M00000005754	5
Dmelanogast_M00000020117	5
Dmelanogast_M00000020798	5
Dmelanogast_M00000001380	4
Dmelanogast_M00000007755	4
Dmelanogast_M00000012553	4
Dmelanogast_M00000019060	4
Dmelanogast_M00000023108	4
Dmelanogast_M00000027440	4
Dmelanogast_M00000027911	4
Dmelanogast_M00000001725	3
Dmelanogast_M00000002905	3
Dmelanogast_M00000009347	3
Dmelanogast_M00000010246	3
Dmelanogast_M00000013267	3
Dmelanogast_M00000021588	3
Dmelanogast_M00000023448	3
Dmelanogast_M00000026580	3
Dmelanogast_M00000000651	2
Dmelanogast_M00000000666	2
Dmelanogast_M00000005687	2
Dmelanogast_M00000006991	2
Dmelanogast_M00000007445	2
Dmelanogast_M00000008744	2
Dmelanogast_M00000010281	2
Dmelanogast_M00000010434	2
Dmelanogast_M00000012103	2
Dmelanogast_M00000014976	2
Dmelanogast_M00000015009	2
Dmelanogast_M00000017397	2
Dmelanogast_M00000018424	2
gene-G00000000857	2
gene-G00000005143	2
Dmelanogast_M00000000349	1
Dmelanogast_M00000000916	1
Dmelanogast_M00000000917	1
Dmelanogast_M00000000925	1
Dmelanogast_M00000001327	1
Dmelanogast_M00000002674	1
Dmelanogast_M00000003484	1
Dmelanogast_M00000004008	1
Dmelanogast_M00000004880	1
Dmelanogast_M00000006962	1
Dmelanogast_M00000006968	1
Dmelanogast_M00000009644	1
Dmelanogast_M00000010327	1
Dmelanogast_M00000012996	1
Dmelanogast_M00000013266	1
Dmelanogast_M00000015884	1
Dmelanogast_M00000015943	1
Dmelanogast_M00000016129	1
Dmelanogast_M00000019741	1
Dmelanogast_M00000020530	1
Dmelanogast_M00000021137	1
Dmelanogast_M00000021282	1
Dmelanogast_M00000021721	1
Dmelanogast_M00000024277	1
Dmelanogast_M00000024537	1
Dmelanogast_M00000024813	1
Dmelanogast_M00000025924	1
Dmelanogast_M00000026410	1
Dmelanogast_M00000026997	1
Dmelanogast_M00000027636	1
Dmelanogast_M00000028389	1
Dmelanogast_M00000030727	1
gene-G00000000702	1
gene-G00000000813	1
gene-G00000008972	1
gene-G00000009182	1
gene-G00000012307	1
gene-G00000014862	1
gene-G00000015011	1
gene-G00000016287	1
