species_key	rows	mapped_flanking	mapped_next	unmapped_flanking	unmapped_next	flanking_mapped_pct	next_mapped_pct
dazt	734	557	498	177	236	75.9	67.8
dbif	521	387	367	134	154	74.3	70.4
dbir	437	337	348	100	89	77.1	79.6
dbun	468	355	375	113	93	75.9	80.1
dequ	573	408	419	165	154	71.2	73.1
dfor	572	410	431	162	141	71.7	75.3
dfun	558	372	425	186	133	66.7	76.2
dimm	517	365	400	152	117	70.6	77.4
dkik	376	288	300	88	76	76.6	79.8
dmir	519	401	343	118	176	77.3	66.1
dnas	527	346	330	181	197	65.7	62.6
dobs	612	462	432	150	180	75.5	70.6
dper	519	406	396	113	123	78.2	76.3
dpha	538	350	365	188	173	65.1	67.8
dpse	403	316	310	87	93	78.4	76.9
druf	439	320	348	119	91	72.9	79.3
dsub	533	426	400	107	133	79.9	75.0
dsul	506	341	354	165	152	67.4	70.0
dsuz	446	347	335	99	111	77.8	75.1
dtei	362	287	295	75	67	79.3	81.5
dtro	653	485	491	168	162	74.3	75.2
dvir	465	333	315	132	150	71.6	67.7
zdav	480	329	366	151	114	68.5	76.2
zind	645	446	476	199	169	69.1	73.8
ztub	476	313	331	163	145	65.8	69.5
d_affinis	561	411	393	150	168	73.3	70.1
d_arizonae	622	391	435	231	187	62.9	69.9
d_bipectinata	390	304	300	86	90	77.9	76.9
d_buzzatii	395	258	253	137	142	65.3	64.1
d_ezoana	581	405	402	176	179	69.7	69.2
d_hydei	442	301	333	141	109	68.1	75.3
d_littoralis	577	427	394	150	183	74.0	68.3
d_lutescens	457	338	338	119	119	74.0	74.0
d_melanogaster	337	337	337	0	0	100.0	100.0
d_mercatorum	521	364	380	157	141	69.9	72.9
d_mojavensis	557	381	388	176	169	68.4	69.7
d_novamexicana	436	316	330	120	106	72.5	75.7
d_repleta	559	390	421	169	138	69.8	75.3
d_serrata	420	330	312	90	108	78.6	74.3
d_simulans	337	268	276	69	61	79.5	81.9
