tree_name	climatic_zone
DROSOPHILA_AFFINIS	TEMP
DROSOPHILA_ARIZONAE	ARID
DROSOPHILA_AZTECA	ARID
DROSOPHILA_BIFASCIATA	BORE
DROSOPHILA_BIPECTINATA	TROP
DROSOPHILA_BIRCHII	TROP
DROSOPHILA_BUNNANDA	TROP
DROSOPHILA_BUZZATII	ARID
DROSOPHILA_EQUINOXIALIS	TROP
DROSOPHILA_EZOANA	BORE
DROSOPHILA_FORMOSANA	TROP
DROSOPHILA_FUNEBRIS	BORE
DROSOPHILA_HYDEI	TEMP
DROSOPHILA_IMMIGRANS	TEMP
DROSOPHILA_KIKKAWAI	TROP
DROSOPHILA_LITTORALIS	BORE
DROSOPHILA_LUTESCENS	TEMP
DROSOPHILA_MELANOGASTER	TEMP
DROSOPHILA_MERCATORUM	TROP
DROSOPHILA_MIRANDA	TEMP
DROSOPHILA_MOJAVENSIS	ARID
DROSOPHILA_NASUTA	TROP
DROSOPHILA_NOVAMEXICANA	ARID
DROSOPHILA_OBSCURA	BORE
DROSOPHILA_PERSIMILIS	TEMP
DROSOPHILA_PHALERATA	BORE
DROSOPHILA_PSEUDOANANASSAE	TROP
DROSOPHILA_REPLETA	TEMP
DROSOPHILA_RUFA	TEMP
DROSOPHILA_SERRATA	TROP
DROSOPHILA_SIMULANS	TEMP
DROSOPHILA_SUBOBSCURA	TEMP
DROSOPHILA_SULFURIGASTER	TROP
DROSOPHILA_SUZUKII	TEMP
DROSOPHILA_TEISSIERI	TROP
DROSOPHILA_TROPICALIS	TROP
DROSOPHILA_VIRILIS	TEMP
ZAPRIONUS_DAVIDI	ARID
ZAPRIONUS_INDIANUS	TROP
ZAPRIONUS_TUBERCULATUS	TROP
