clade	clade_title	plot_order	cre_id	category	focal_species	discordant_species	discordant_state	consensus_state	contrast_direction	n_turnover_states	n_present_states
rufa_group	Rufa group	1	DMEL_CRE_00151	focal_tier1	druf	druf	turnover_candidate	present	discordant_turnover	1	4
rufa_group	Rufa group	2	DMEL_CRE_00154	focal_tier1	druf	druf	turnover_candidate	present	discordant_turnover	1	4
rufa_group	Rufa group	3	DMEL_CRE_00052	secondary_tier1	druf	dkik	turnover_candidate	present	discordant_turnover	1	4
rufa_group	Rufa group	4	DMEL_CRE_00330	secondary_tier1	druf	d_serrata	turnover_candidate	present	discordant_turnover	1	4
rufa_group	Rufa group	5	DMEL_CRE_00004	secondary_tier1	druf	dbun	present	turnover_candidate	discordant_present	4	1
rufa_group	Rufa group	6	DMEL_CRE_00178	secondary_tier1	druf	dbun	present	turnover_candidate	discordant_present	4	1
rufa_group	Rufa group	7	DMEL_CRE_00065	secondary_tier1	druf	d_serrata	present	turnover_candidate	discordant_present	4	1
rufa_group	Rufa group	8	DMEL_CRE_00331	secondary_tier1	druf	d_serrata	present	turnover_candidate	discordant_present	4	1
rufa_group	Rufa group	9	DMEL_CRE_00082	secondary_tier1	druf	dbir	present	turnover_candidate	discordant_present	4	1
rufa_group	Rufa group	10	DMEL_CRE_00321	secondary_tier1	druf	dbir	present	turnover_candidate	discordant_present	4	1
immigrans_group	Immigrans group	1	DMEL_CRE_00052	focal_tier1	dimm	dimm	turnover_candidate	present	discordant_turnover	1	3
immigrans_group	Immigrans group	2	DMEL_CRE_00077	focal_tier1	dimm	dimm	present	turnover_candidate	discordant_present	3	1
immigrans_group	Immigrans group	3	DMEL_CRE_00186	secondary_tier1	dimm	dfor	turnover_candidate	present	discordant_turnover	1	3
immigrans_group	Immigrans group	4	DMEL_CRE_00080	secondary_tier1	dimm	dnas	present	turnover_candidate	discordant_present	3	1
obscura_group	Subobscura group	1	DMEL_CRE_00121	focal_tier1	dsub	dsub	turnover_candidate	present	discordant_turnover	1	2
obscura_group	Subobscura group	2	DMEL_CRE_00122	focal_tier1	dsub	dsub	turnover_candidate	present	discordant_turnover	1	2
obscura_group	Subobscura group	3	DMEL_CRE_00152	focal_tier1	dsub	dsub	turnover_candidate	present	discordant_turnover	1	2
obscura_group	Subobscura group	4	DMEL_CRE_00276	focal_tier1	dsub	dsub	turnover_candidate	present	discordant_turnover	1	2
obscura_group	Subobscura group	5	DMEL_CRE_00065	focal_tier1	dsub	dsub	present	turnover_candidate	discordant_present	2	1
obscura_group	Subobscura group	6	DMEL_CRE_00093	focal_tier1	dsub	dsub	present	turnover_candidate	discordant_present	2	1
obscura_group	Subobscura group	7	DMEL_CRE_00309	focal_tier1	dsub	dsub	present	turnover_candidate	discordant_present	2	1
obscura_group	Subobscura group	8	DMEL_CRE_00277	secondary_tier1	dsub	dbif	turnover_candidate	present	discordant_turnover	1	2
obscura_group	Subobscura group	9	DMEL_CRE_00003	secondary_tier1	dsub	dobs	turnover_candidate	present	discordant_turnover	1	2
obscura_group	Subobscura group	10	DMEL_CRE_00052	secondary_tier1	dsub	dobs	turnover_candidate	present	discordant_turnover	1	2
obscura_group	Subobscura group	11	DMEL_CRE_00038	secondary_tier1	dsub	dbif	present	turnover_candidate	discordant_present	2	1
obscura_group	Subobscura group	12	DMEL_CRE_00042	secondary_tier1	dsub	dbif	present	turnover_candidate	discordant_present	2	1
obscura_group	Subobscura group	13	DMEL_CRE_00151	secondary_tier1	dsub	dbif	present	turnover_candidate	discordant_present	2	1
obscura_group	Subobscura group	14	DMEL_CRE_00175	secondary_tier1	dsub	dbif	present	turnover_candidate	discordant_present	2	1
obscura_group	Subobscura group	15	DMEL_CRE_00120	secondary_tier1	dsub	dobs	present	turnover_candidate	discordant_present	2	1
azteca_affinis_miranda_group	Azteca group	1	DMEL_CRE_00310	focal_tier1	dazt	dazt	turnover_candidate	present	discordant_turnover	1	3
azteca_affinis_miranda_group	Azteca group	2	DMEL_CRE_00330	focal_tier1	dazt	dazt	turnover_candidate	present	discordant_turnover	1	3
azteca_affinis_miranda_group	Azteca group	3	DMEL_CRE_00331	focal_tier1	dazt	dazt	turnover_candidate	present	discordant_turnover	1	3
azteca_affinis_miranda_group	Azteca group	4	DMEL_CRE_00080	focal_tier1	dazt	dazt	present	turnover_candidate	discordant_present	3	1
azteca_affinis_miranda_group	Azteca group	5	DMEL_CRE_00309	focal_tier1	dazt	dazt	present	turnover_candidate	discordant_present	3	1
azteca_affinis_miranda_group	Azteca group	6	DMEL_CRE_00078	secondary_tier1	dazt	d_affinis	turnover_candidate	present	discordant_turnover	1	3
azteca_affinis_miranda_group	Azteca group	7	DMEL_CRE_00275	secondary_tier1	dazt	dper	present	turnover_candidate	discordant_present	3	1
teissieri_group	Teissieri group	1	DMEL_CRE_00030	focal_tier1	dtei	dtei	turnover_candidate	present	discordant_turnover	1	3
teissieri_group	Teissieri group	2	DMEL_CRE_00017	focal_tier1	dtei	dtei	present	turnover_candidate	discordant_present	3	1
teissieri_group	Teissieri group	3	DMEL_CRE_00106	focal_tier1	dtei	dtei	present	turnover_candidate	discordant_present	3	1
teissieri_group	Teissieri group	4	DMEL_CRE_00029	secondary_tier1	dtei	dsuz	turnover_candidate	present	discordant_turnover	1	3
teissieri_group	Teissieri group	5	DMEL_CRE_00115	secondary_tier1	dtei	dsuz	turnover_candidate	present	discordant_turnover	1	3
teissieri_group	Teissieri group	6	DMEL_CRE_00151	secondary_tier1	dtei	dsuz	turnover_candidate	present	discordant_turnover	1	3
teissieri_group	Teissieri group	7	DMEL_CRE_00153	secondary_tier1	dtei	dsuz	turnover_candidate	present	discordant_turnover	1	3
teissieri_group	Teissieri group	8	DMEL_CRE_00203	secondary_tier1	dtei	d_lutescens	turnover_candidate	present	discordant_turnover	1	3
teissieri_group	Teissieri group	9	DMEL_CRE_00330	secondary_tier1	dtei	d_lutescens	turnover_candidate	present	discordant_turnover	1	3
teissieri_group	Teissieri group	10	DMEL_CRE_00331	secondary_tier1	dtei	d_lutescens	turnover_candidate	present	discordant_turnover	1	3
teissieri_group	Teissieri group	11	DMEL_CRE_00072	secondary_tier1	dtei	d_simulans	turnover_candidate	present	discordant_turnover	1	3
teissieri_group	Teissieri group	12	DMEL_CRE_00019	secondary_tier1	dtei	dsuz	present	turnover_candidate	discordant_present	3	1
