species	source	n_scrmshaw_peaks	mapping_rate	present	turnover_candidate	no_detected_CRE	uncertain	present_rate_evaluable	turnover_rate_evaluable	qc_flags
dazt	generated	734	0.777448	46	68	148	75	0.175573	0.259542	OK
dbif	generated	521	0.747774	37	50	165	85	0.146825	0.198413	OK
dbir	generated	437	0.919881	53	63	194	27	0.170968	0.203226	OK
dbun	generated	468	0.931751	47	73	194	23	0.149682	0.232484	OK
dequ	generated	573	0.477745	15	37	109	176	0.093168	0.229814	LOW_MAPPING
dfor	generated	572	0.498516	21	41	106	169	0.125	0.244048	LOW_MAPPING
dfun	generated	558	0.51632	17	42	115	163	0.097701	0.241379	OK
dimm	generated	517	0.489614	17	33	115	172	0.10303	0.2	LOW_MAPPING
dkik	generated	376	0.922849	41	65	205	26	0.131833	0.209003	OK
dmir	generated	519	0.774481	39	59	163	76	0.149425	0.226054	OK
dnas	generated	527	0.510386	20	37	115	165	0.116279	0.215116	OK
dobs	generated	612	0.795252	35	71	162	69	0.130597	0.264925	OK
dper	generated	519	0.753709	37	64	153	83	0.145669	0.251969	OK
dpha	generated	538	0.492582	16	46	104	171	0.096386	0.277108	LOW_MAPPING
dpse	generated	403	0.839763	42	62	179	54	0.14841	0.219081	OK
druf	generated	439	0.919881	45	68	197	27	0.145161	0.219355	OK
dsub	generated	533	0.759644	34	74	148	81	0.132812	0.289062	OK
dsul	generated	506	0.507418	18	44	109	166	0.105263	0.25731	OK
dsuz	generated	446	0.982196	75	62	194	6	0.226586	0.187311	OK
dtei	generated	362	0.988131	97	52	184	4	0.291291	0.156156	OK
dtro	generated	653	0.474777	11	42	107	177	0.06875	0.2625	LOW_MAPPING
dvir	generated	465	0.492582	18	28	120	171	0.108434	0.168675	LOW_MAPPING
zdav	generated	480	0.47181	18	32	109	178	0.113208	0.201258	LOW_MAPPING
zind	generated	645	0.474777	18	42	100	177	0.1125	0.2625	LOW_MAPPING
ztub	generated	476	0.445104	9	37	104	187	0.06	0.246667	LOW_MAPPING
d_affinis	external	561	0.78635	40	60	165	72	0.150943	0.226415	OK
d_arizonae	external	622	0.436202	16	39	92	190	0.108844	0.265306	LOW_MAPPING
d_bipectinata	external	390	0.866469	44	52	196	45	0.150685	0.178082	OK
d_buzzatii	external	395	0.48368	13	34	116	174	0.079755	0.208589	LOW_MAPPING
d_ezoana	external	581	0.51632	23	47	104	163	0.132184	0.270115	OK
d_hydei	external	442	0.489614	6	44	115	172	0.036364	0.266667	LOW_MAPPING
d_littoralis	external	577	0.504451	19	29	122	167	0.111765	0.170588	OK
d_lutescens	external	457	0.976261	80	57	192	8	0.243161	0.173252	OK
d_mercatorum	external	521	0.48368	9	46	108	174	0.055215	0.282209	LOW_MAPPING
d_mojavensis	external	557	0.489614	15	44	106	172	0.090909	0.266667	LOW_MAPPING
d_novamexicana	external	436	0.492582	18	42	106	171	0.108434	0.253012	LOW_MAPPING
d_repleta	external	559	0.492582	13	41	112	171	0.078313	0.246988	LOW_MAPPING
d_serrata	external	420	0.913947	50	68	190	29	0.162338	0.220779	OK
d_simulans	external	337	0.991098	142	44	148	3	0.42515	0.131737	OK
