species	n_reference_cres	n_scrmshaw_peaks	mapped	unmapped	mapping_rate	n_prediction_seqids	n_lifted_seqids	n_common_seqids	prediction_seqid_overlap_fraction	lifted_seqid_overlap_fraction	any_positional_overlap	any_overlap_rate_evaluable	lifted_overlap_ge_50pct	peak_overlap_ge_50pct	reciprocal_overlap_ge_50pct	reciprocal_overlap_rate_evaluable	positional_match	turnover_candidate	unique_turnover_target_peaks	no_detected_CRE	uncertain	same_fbgn_peak_anywhere	same_fbgn_peak_local	positional_match_rate_evaluable	turnover_rate_evaluable	qc_flags
dazt	337	734	262	75	0.777448	17	16	15	0.882353	0.937500	52	0.198473	47	49	46	0.175573	46	68	61	148	75	129	123	0.175573	0.259542	OK
dbif	337	521	252	85	0.747774	5	4	4	0.800000	1.000000	43	0.170635	37	40	37	0.146825	37	50	46	165	85	105	102	0.146825	0.198413	OK
dbir	337	437	310	27	0.919881	17	13	8	0.470588	0.615385	55	0.177419	53	54	53	0.170968	53	63	54	194	27	120	116	0.170968	0.203226	OK
dbun	337	468	314	23	0.931751	26	25	21	0.807692	0.840000	56	0.178344	50	51	47	0.149682	47	73	60	194	23	124	117	0.149682	0.232484	OK
dequ	337	573	161	176	0.477745	43	18	18	0.418605	1.000000	19	0.118012	15	17	15	0.093168	15	37	35	109	176	112	108	0.093168	0.229814	LOW_MAPPING
dfor	337	572	168	169	0.498516	41	26	26	0.634146	1.000000	26	0.154762	22	24	21	0.125000	21	41	34	106	169	118	112	0.125000	0.244048	LOW_MAPPING
dfun	337	558	174	163	0.516320	9	6	5	0.555556	0.833333	20	0.114943	18	17	17	0.097701	17	42	33	115	163	98	94	0.097701	0.241379	OK
dimm	337	517	165	172	0.489614	23	20	15	0.652174	0.750000	20	0.121212	19	18	17	0.103030	17	33	26	115	172	107	100	0.103030	0.200000	LOW_MAPPING
dkik	337	376	311	26	0.922849	12	7	6	0.500000	0.857143	45	0.144695	41	43	41	0.131833	41	65	49	205	26	107	101	0.131833	0.209003	OK
dmir	337	519	261	76	0.774481	10	7	7	0.700000	1.000000	44	0.168582	40	41	39	0.149425	39	59	51	163	76	115	114	0.149425	0.226054	OK
dnas	337	527	172	165	0.510386	6	4	4	0.666667	1.000000	22	0.127907	21	20	20	0.116279	20	37	30	115	165	112	110	0.116279	0.215116	OK
dobs	337	612	268	69	0.795252	40	33	33	0.825000	1.000000	42	0.156716	37	38	35	0.130597	35	71	56	162	69	119	116	0.130597	0.264925	OK
dper	337	519	254	83	0.753709	45	37	36	0.800000	0.972973	42	0.165354	37	39	37	0.145669	37	64	56	153	83	115	114	0.145669	0.251969	OK
dpha	337	538	166	171	0.492582	12	5	5	0.416667	1.000000	18	0.108434	16	18	16	0.096386	16	46	38	104	171	118	115	0.096386	0.277108	LOW_MAPPING
dpse	337	403	283	54	0.839763	127	96	82	0.645669	0.854167	48	0.169611	43	45	42	0.148410	42	62	50	179	54	109	108	0.148410	0.219081	OK
druf	337	439	310	27	0.919881	13	8	8	0.615385	1.000000	53	0.170968	45	51	45	0.145161	45	68	54	197	27	116	110	0.145161	0.219355	OK
dsub	337	533	256	81	0.759644	6	6	6	1.000000	1.000000	41	0.160156	34	39	34	0.132812	34	74	59	148	81	128	125	0.132812	0.289062	OK
