species	n_reference_cres	mapped	unmapped	mapping_rate	positional_match	turnover_candidate	no_detected_CRE	uncertain	positional_match_rate_all	positional_match_rate_evaluable	turnover_rate_all	turnover_rate_evaluable	no_detected_rate_all	no_detected_rate_evaluable	positional_match_shared_fbgn	positional_match_discordant_fbgn	positional_match_other_gene_support
dazt	337	262	75	0.777448	46	68	148	75	0.136499	0.175573	0.201780	0.259542	0.439169	0.564885	35	11	0
dbif	337	252	85	0.747774	37	50	165	85	0.109792	0.146825	0.148368	0.198413	0.489614	0.654762	27	10	0
dbir	337	310	27	0.919881	53	63	194	27	0.157270	0.170968	0.186944	0.203226	0.575668	0.625806	44	9	0
dbun	337	314	23	0.931751	47	73	194	23	0.139466	0.149682	0.216617	0.232484	0.575668	0.617834	38	9	0
dequ	337	161	176	0.477745	15	37	109	176	0.044510	0.093168	0.109792	0.229814	0.323442	0.677019	13	2	0
dfor	337	168	169	0.498516	21	41	106	169	0.062315	0.125000	0.121662	0.244048	0.314540	0.630952	14	7	0
dfun	337	174	163	0.516320	17	42	115	163	0.050445	0.097701	0.124629	0.241379	0.341246	0.660920	11	6	0
dimm	337	165	172	0.489614	17	33	115	172	0.050445	0.103030	0.097923	0.200000	0.341246	0.696970	11	6	0
dkik	337	311	26	0.922849	41	65	205	26	0.121662	0.131833	0.192878	0.209003	0.608309	0.659164	30	11	0
dmir	337	261	76	0.774481	39	59	163	76	0.115727	0.149425	0.175074	0.226054	0.483680	0.624521	29	9	1
dnas	337	172	165	0.510386	20	37	115	165	0.059347	0.116279	0.109792	0.215116	0.341246	0.668605	16	4	0
dobs	337	268	69	0.795252	35	71	162	69	0.103858	0.130597	0.210682	0.264925	0.480712	0.604478	27	8	0
dper	337	254	83	0.753709	37	64	153	83	0.109792	0.145669	0.189911	0.251969	0.454006	0.602362	25	12	0
dpha	337	166	171	0.492582	16	46	104	171	0.047478	0.096386	0.136499	0.277108	0.308605	0.626506	11	5	0
dpse	337	283	54	0.839763	42	62	179	54	0.124629	0.148410	0.183976	0.219081	0.531157	0.632509	34	8	0
druf	337	310	27	0.919881	45	68	197	27	0.133531	0.145161	0.201780	0.219355	0.584570	0.635484	37	8	0
dsub	337	256	81	0.759644	34	74	148	81	0.100890	0.132812	0.219585	0.289062	0.439169	0.578125	24	10	0
dsul	337	171	166	0.507418	18	44	109	166	0.053412	0.105263	0.130564	0.257310	0.323442	0.637427	11	7	0
dsuz	337	331	6	0.982196	75	62	194	6	0.222552	0.226586	0.183976	0.187311	0.575668	0.586103	59	16	0
dtei	337	333	4	0.988131	97	52	184	4	0.287834	0.291291	0.154303	0.156156	0.545994	0.552553	77	20	0
dtro	337	160	177	0.474777	11	42	107	177	0.032641	0.068750	0.124629	0.262500	0.317507	0.668750	10	1	0
dvir	337	166	171	0.492582	18	28	120	171	0.053412	0.108434	0.083086	0.168675	0.356083	0.722892	12	6	0
zdav	337	159	178	0.471810	18	32	109	178	0.053412	0.113208	0.094955	0.201258	0.323442	0.685535	14	4	0
zind	337	160	177	0.474777	18	42	100	177	0.053412	0.112500	0.124629	0.262500	0.296736	0.625000	12	6	0
ztub	337	150	187	0.445104	9	37	104	187	0.026706	0.060000	0.109792	0.246667	0.308605	0.693333	5	4	0
d_affinis	337	265	72	0.786350	40	60	165	72	0.118694	0.150943	0.178042	0.226415	0.489614	0.622642	30	10	0
d_arizonae	337	147	190	0.436202	16	39	92	190	0.047478	0.108844	0.115727	0.265306	0.272997	0.625850	10	6	0
d_bipectinata	337	292	45	0.866469	44	52	196	45	0.130564	0.150685	0.154303	0.178082	0.581602	0.671233	37	7	0
d_buzzatii	337	163	174	0.483680	13	34	116	174	0.038576	0.079755	0.100890	0.208589	0.344214	0.711656	8	5	0
d_ezoana	337	174	163	0.516320	23	47	104	163	0.068249	0.132184	0.139466	0.270115	0.308605	0.597701	17	6	0
d_hydei	337	165	172	0.489614	6	44	115	172	0.017804	0.036364	0.130564	0.266667	0.341246	0.696970	6	0	0
d_littoralis	337	170	167	0.504451	19	29	122	167	0.056380	0.111765	0.086053	0.170588	0.362018	0.717647	14	5	0
d_lutescens	337	329	8	0.976261	80	57	192	8	0.237389	0.243161	0.169139	0.173252	0.569733	0.583587	57	23	0
d_mercatorum	337	163	174	0.483680	9	46	108	174	0.026706	0.055215	0.136499	0.282209	0.320475	0.662577	7	2	0
d_mojavensis	337	165	172	0.489614	15	44	106	172	0.044510	0.090909	0.130564	0.266667	0.314540	0.642424	12	3	0
d_novamexicana	337	166	171	0.492582	18	42	106	171	0.053412	0.108434	0.124629	0.253012	0.314540	0.638554	13	5	0
d_repleta	337	166	171	0.492582	13	41	112	171	0.038576	0.078313	0.121662	0.246988	0.332344	0.674699	10	3	0
d_serrata	337	308	29	0.913947	50	68	190	29	0.148368	0.162338	0.201780	0.220779	0.563798	0.616883	37	13	0
d_simulans	337	334	3	0.991098	142	44	148	3	0.421365	0.425150	0.130564	0.131737	0.439169	0.443114	113	29	0
