group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dazt	d_affinis	dmir	dper
azteca_affinis_miranda_group	DMEL_CRE_00002	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00004	all_same	dazt	ARID	present	d_affinis|dmir|dper	TEMP	present	present	present	present	present
azteca_affinis_miranda_group	DMEL_CRE_00005	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00010	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00011	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00019	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00024	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00025	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00028	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00034	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00035	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00036	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00037	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00039	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00040	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00041	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00043	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00045	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00047	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00049	all_same	dazt	ARID	present	d_affinis|dmir|dper	TEMP	present	present	present	present	present
