group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dazt	d_affinis	dmir	dper
azteca_affinis_miranda_group	DMEL_CRE_00003	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	no_detected_CRE	turnover_candidate	present
azteca_affinis_miranda_group	DMEL_CRE_00006	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00007	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00009	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00012	comparison_mixed	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	mixed	uncertain	uncertain	no_detected_CRE	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00013	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00014	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	no_detected_CRE	no_detected_CRE	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00016	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	uncertain	no_detected_CRE	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00017	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	turnover_candidate	turnover_candidate	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00018	comparison_mixed	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	mixed	uncertain	uncertain	turnover_candidate	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00020	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	turnover_candidate	turnover_candidate	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00021	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	turnover_candidate	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00022	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	present	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00023	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	present	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00026	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	no_detected_CRE	no_detected_CRE	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00027	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	turnover_candidate	turnover_candidate	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00029	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00030	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00031	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	present	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00032	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00033	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00038	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	turnover_candidate	turnover_candidate	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00042	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	no_detected_CRE	present	present
azteca_affinis_miranda_group	DMEL_CRE_00044	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	no_detected_CRE	uncertain	uncertain
