group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dimm	dfor	dsul	dnas
immigrans_group	DMEL_CRE_00001	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00002	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00003	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	uncertain	present	present
immigrans_group	DMEL_CRE_00004	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00005	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	no_detected_CRE	uncertain	uncertain
immigrans_group	DMEL_CRE_00006	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	uncertain	no_detected_CRE	turnover_candidate
immigrans_group	DMEL_CRE_00007	comparison_mixed	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate
immigrans_group	DMEL_CRE_00008	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00009	comparison_mixed	dimm	TEMP	present	dfor|dsul|dnas	TROP	mixed	present	present	uncertain	present
immigrans_group	DMEL_CRE_00010	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00011	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00012	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00013	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	turnover_candidate	uncertain	uncertain
immigrans_group	DMEL_CRE_00014	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00015	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00016	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00017	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00018	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	uncertain	present	present
immigrans_group	DMEL_CRE_00019	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00020	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00021	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00022	all_same	dimm	TEMP	present	dfor|dsul|dnas	TROP	present	present	present	present	present
immigrans_group	DMEL_CRE_00023	comparison_mixed	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	mixed	no_detected_CRE	no_detected_CRE	present	no_detected_CRE
immigrans_group	DMEL_CRE_00024	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00025	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00026	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	no_detected_CRE	turnover_candidate	turnover_candidate
immigrans_group	DMEL_CRE_00027	comparison_mixed	dimm	TEMP	turnover_candidate	dfor|dsul|dnas	TROP	mixed	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00028	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00029	tier2	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate
immigrans_group	DMEL_CRE_00030	tier2	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate
