group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dimm	dfor	dsul	dnas
immigrans_group	DMEL_CRE_00001	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00002	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00004	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00008	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00010	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00011	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00012	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00014	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00015	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00016	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00017	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00019	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00020	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00021	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00022	all_same	dimm	TEMP	present	dfor|dsul|dnas	TROP	present	present	present	present	present
immigrans_group	DMEL_CRE_00024	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00025	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00028	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00032	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00034	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00035	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00036	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00037	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00038	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00039	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00040	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00041	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00042	all_same	dimm	TEMP	turnover_candidate	dfor|dsul|dnas	TROP	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
immigrans_group	DMEL_CRE_00043	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00044	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00045	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
