group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dimm	dfor	dsul	dnas
immigrans_group	DMEL_CRE_00003	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	uncertain	present	present
immigrans_group	DMEL_CRE_00005	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	no_detected_CRE	uncertain	uncertain
immigrans_group	DMEL_CRE_00006	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	uncertain	no_detected_CRE	turnover_candidate
immigrans_group	DMEL_CRE_00007	comparison_mixed	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate
immigrans_group	DMEL_CRE_00009	comparison_mixed	dimm	TEMP	present	dfor|dsul|dnas	TROP	mixed	present	present	uncertain	present
immigrans_group	DMEL_CRE_00013	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	turnover_candidate	uncertain	uncertain
immigrans_group	DMEL_CRE_00018	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	uncertain	present	present
immigrans_group	DMEL_CRE_00023	comparison_mixed	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	mixed	no_detected_CRE	no_detected_CRE	present	no_detected_CRE
immigrans_group	DMEL_CRE_00026	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	no_detected_CRE	turnover_candidate	turnover_candidate
immigrans_group	DMEL_CRE_00027	comparison_mixed	dimm	TEMP	turnover_candidate	dfor|dsul|dnas	TROP	mixed	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00031	comparison_mixed	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	mixed	no_detected_CRE	turnover_candidate	uncertain	turnover_candidate
immigrans_group	DMEL_CRE_00033	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	uncertain	no_detected_CRE	uncertain
immigrans_group	DMEL_CRE_00048	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	uncertain	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00049	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	uncertain	no_detected_CRE	uncertain
immigrans_group	DMEL_CRE_00062	comparison_mixed	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	mixed	no_detected_CRE	uncertain	uncertain	no_detected_CRE
immigrans_group	DMEL_CRE_00068	comparison_mixed	dimm	TEMP	turnover_candidate	dfor|dsul|dnas	TROP	mixed	turnover_candidate	uncertain	turnover_candidate	uncertain
immigrans_group	DMEL_CRE_00069	comparison_mixed	dimm	TEMP	turnover_candidate	dfor|dsul|dnas	TROP	mixed	turnover_candidate	turnover_candidate	turnover_candidate	no_detected_CRE
immigrans_group	DMEL_CRE_00073	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	uncertain	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00075	comparison_mixed	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	mixed	uncertain	no_detected_CRE	uncertain	uncertain
immigrans_group	DMEL_CRE_00080	comparison_mixed	dimm	TEMP	turnover_candidate	dfor|dsul|dnas	TROP	mixed	turnover_candidate	turnover_candidate	turnover_candidate	present
