group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dsub	dbif	dobs
obscura_group	DMEL_CRE_00001	comparison_mixed	dsub	TEMP	present	dbif|dobs	BORE	mixed	present	uncertain	no_detected_CRE
obscura_group	DMEL_CRE_00002	all_same	dsub	TEMP	uncertain	dbif|dobs	BORE	uncertain	uncertain	uncertain	uncertain
obscura_group	DMEL_CRE_00003	comparison_mixed	dsub	TEMP	present	dbif|dobs	BORE	mixed	present	present	turnover_candidate
obscura_group	DMEL_CRE_00004	all_same	dsub	TEMP	present	dbif|dobs	BORE	present	present	present	present
obscura_group	DMEL_CRE_00005	all_same	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00006	tier2	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
obscura_group	DMEL_CRE_00007	tier2	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
obscura_group	DMEL_CRE_00008	comparison_mixed	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	mixed	turnover_candidate	uncertain	turnover_candidate
obscura_group	DMEL_CRE_00009	comparison_mixed	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	mixed	turnover_candidate	no_detected_CRE	turnover_candidate
obscura_group	DMEL_CRE_00010	all_same	dsub	TEMP	uncertain	dbif|dobs	BORE	uncertain	uncertain	uncertain	uncertain
obscura_group	DMEL_CRE_00011	all_same	dsub	TEMP	uncertain	dbif|dobs	BORE	uncertain	uncertain	uncertain	uncertain
obscura_group	DMEL_CRE_00012	all_same	dsub	TEMP	uncertain	dbif|dobs	BORE	uncertain	uncertain	uncertain	uncertain
obscura_group	DMEL_CRE_00013	comparison_mixed	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	mixed	no_detected_CRE	present	no_detected_CRE
obscura_group	DMEL_CRE_00014	comparison_mixed	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate
obscura_group	DMEL_CRE_00015	all_same	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00016	tier3	dsub	TEMP	uncertain	dbif|dobs	BORE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00017	all_same	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
obscura_group	DMEL_CRE_00018	comparison_mixed	dsub	TEMP	uncertain	dbif|dobs	BORE	mixed	uncertain	present	uncertain
obscura_group	DMEL_CRE_00019	all_same	dsub	TEMP	uncertain	dbif|dobs	BORE	uncertain	uncertain	uncertain	uncertain
obscura_group	DMEL_CRE_00020	comparison_mixed	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	mixed	turnover_candidate	no_detected_CRE	turnover_candidate
obscura_group	DMEL_CRE_00021	comparison_mixed	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	mixed	turnover_candidate	no_detected_CRE	uncertain
obscura_group	DMEL_CRE_00022	tier2	dsub	TEMP	present	dbif|dobs	BORE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00023	comparison_mixed	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	mixed	no_detected_CRE	no_detected_CRE	present
obscura_group	DMEL_CRE_00024	all_same	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00025	tier3	dsub	TEMP	uncertain	dbif|dobs	BORE	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00026	comparison_mixed	dsub	TEMP	present	dbif|dobs	BORE	mixed	present	no_detected_CRE	turnover_candidate
obscura_group	DMEL_CRE_00027	all_same	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
obscura_group	DMEL_CRE_00028	all_same	dsub	TEMP	uncertain	dbif|dobs	BORE	uncertain	uncertain	uncertain	uncertain
obscura_group	DMEL_CRE_00029	comparison_mixed	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	mixed	turnover_candidate	no_detected_CRE	turnover_candidate
obscura_group	DMEL_CRE_00030	comparison_mixed	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	mixed	turnover_candidate	no_detected_CRE	turnover_candidate
obscura_group	DMEL_CRE_00031	comparison_mixed	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	mixed	turnover_candidate	no_detected_CRE	turnover_candidate
