group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dsub	dbif	dobs
obscura_group	DMEL_CRE_00006	tier2	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
obscura_group	DMEL_CRE_00007	tier2	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
obscura_group	DMEL_CRE_00022	tier2	dsub	TEMP	present	dbif|dobs	BORE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00098	tier2	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
obscura_group	DMEL_CRE_00100	tier2	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00119	tier2	dsub	TEMP	present	dbif|dobs	BORE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00139	tier2	dsub	TEMP	present	dbif|dobs	BORE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00144	tier2	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00145	tier2	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00155	tier2	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	present	no_detected_CRE	present	present
obscura_group	DMEL_CRE_00187	tier2	dsub	TEMP	present	dbif|dobs	BORE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00196	tier2	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00197	tier2	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
obscura_group	DMEL_CRE_00198	tier2	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
obscura_group	DMEL_CRE_00200	tier2	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00212	tier2	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00217	tier2	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00222	tier2	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
obscura_group	DMEL_CRE_00296	tier2	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
obscura_group	DMEL_CRE_00298	tier2	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00321	tier2	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00324	tier2	dsub	TEMP	present	dbif|dobs	BORE	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
obscura_group	DMEL_CRE_00329	tier2	dsub	TEMP	no_detected_CRE	dbif|dobs	BORE	present	no_detected_CRE	present	present
obscura_group	DMEL_CRE_00333	tier2	dsub	TEMP	turnover_candidate	dbif|dobs	BORE	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
