group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	d_repleta	d_buzzatii	d_mojavensis	d_arizonae
repleta_group	DMEL_CRE_00005	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	turnover_candidate	uncertain	uncertain
repleta_group	DMEL_CRE_00006	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE
repleta_group	DMEL_CRE_00007	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	uncertain	turnover_candidate	no_detected_CRE
repleta_group	DMEL_CRE_00009	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	present	uncertain	uncertain
repleta_group	DMEL_CRE_00015	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	uncertain	no_detected_CRE	present
repleta_group	DMEL_CRE_00022	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
repleta_group	DMEL_CRE_00026	comparison_mixed	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	turnover_candidate	no_detected_CRE	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00027	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	turnover_candidate	turnover_candidate	no_detected_CRE
repleta_group	DMEL_CRE_00030	comparison_mixed	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
repleta_group	DMEL_CRE_00033	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	uncertain	uncertain
repleta_group	DMEL_CRE_00040	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	uncertain	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00042	comparison_mixed	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	turnover_candidate	turnover_candidate	turnover_candidate	no_detected_CRE
repleta_group	DMEL_CRE_00043	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	no_detected_CRE	uncertain	uncertain
repleta_group	DMEL_CRE_00044	comparison_mixed	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	turnover_candidate	uncertain	present	uncertain
repleta_group	DMEL_CRE_00053	comparison_mixed	d_repleta	TEMP	present	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	present	turnover_candidate	present	turnover_candidate
repleta_group	DMEL_CRE_00057	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	uncertain	uncertain	no_detected_CRE
repleta_group	DMEL_CRE_00063	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	no_detected_CRE	no_detected_CRE	present
repleta_group	DMEL_CRE_00069	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00073	comparison_mixed	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	turnover_candidate	uncertain	no_detected_CRE	no_detected_CRE
