group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	druf	dkik	dbun	dbir	d_serrata
rufa_group	DMEL_CRE_00001	all_same	druf	TEMP	uncertain	dkik|dbun|dbir|d_serrata	TROP	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain
rufa_group	DMEL_CRE_00002	all_same	druf	TEMP	uncertain	dkik|dbun|dbir|d_serrata	TROP	uncertain	uncertain	uncertain	uncertain	uncertain	uncertain
rufa_group	DMEL_CRE_00003	comparison_mixed	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE
rufa_group	DMEL_CRE_00004	comparison_mixed	druf	TEMP	turnover_candidate	dkik|dbun|dbir|d_serrata	TROP	mixed	turnover_candidate	turnover_candidate	present	turnover_candidate	turnover_candidate
rufa_group	DMEL_CRE_00005	comparison_mixed	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE
rufa_group	DMEL_CRE_00006	comparison_mixed	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	mixed	no_detected_CRE	present	present	no_detected_CRE	present
rufa_group	DMEL_CRE_00007	all_same	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
rufa_group	DMEL_CRE_00008	comparison_mixed	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	mixed	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
rufa_group	DMEL_CRE_00009	all_same	druf	TEMP	present	dkik|dbun|dbir|d_serrata	TROP	present	present	present	present	present	present
rufa_group	DMEL_CRE_00010	comparison_mixed	druf	TEMP	present	dkik|dbun|dbir|d_serrata	TROP	mixed	present	no_detected_CRE	present	turnover_candidate	present
rufa_group	DMEL_CRE_00011	comparison_mixed	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	mixed	no_detected_CRE	turnover_candidate	present	present	present
rufa_group	DMEL_CRE_00012	comparison_mixed	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	mixed	no_detected_CRE	uncertain	turnover_candidate	uncertain	uncertain
rufa_group	DMEL_CRE_00013	all_same	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
rufa_group	DMEL_CRE_00014	comparison_mixed	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate
rufa_group	DMEL_CRE_00015	comparison_mixed	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate
rufa_group	DMEL_CRE_00016	all_same	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
