group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	druf	dkik	dbun	dbir	d_serrata
rufa_group	DMEL_CRE_00055	tier2	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
rufa_group	DMEL_CRE_00087	tier2	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	present	no_detected_CRE	present	present	present	present
rufa_group	DMEL_CRE_00108	tier2	druf	TEMP	turnover_candidate	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
rufa_group	DMEL_CRE_00130	tier2	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	present	no_detected_CRE	present	present	present	present
rufa_group	DMEL_CRE_00139	tier2	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	present	no_detected_CRE	present	present	present	present
rufa_group	DMEL_CRE_00141	tier2	druf	TEMP	turnover_candidate	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
rufa_group	DMEL_CRE_00147	tier2	druf	TEMP	turnover_candidate	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
rufa_group	DMEL_CRE_00148	tier2	druf	TEMP	present	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
rufa_group	DMEL_CRE_00170	tier2	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
rufa_group	DMEL_CRE_00187	tier2	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	present	no_detected_CRE	present	present	present	present
rufa_group	DMEL_CRE_00189	tier2	druf	TEMP	turnover_candidate	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
rufa_group	DMEL_CRE_00203	tier2	druf	TEMP	turnover_candidate	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
rufa_group	DMEL_CRE_00213	tier2	druf	TEMP	turnover_candidate	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
rufa_group	DMEL_CRE_00230	tier2	druf	TEMP	present	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
rufa_group	DMEL_CRE_00279	tier2	druf	TEMP	turnover_candidate	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
rufa_group	DMEL_CRE_00292	tier2	druf	TEMP	no_detected_CRE	dkik|dbun|dbir|d_serrata	TROP	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
rufa_group	DMEL_CRE_00296	tier2	druf	TEMP	turnover_candidate	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
rufa_group	DMEL_CRE_00329	tier2	druf	TEMP	turnover_candidate	dkik|dbun|dbir|d_serrata	TROP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
