group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dtei	d_simulans	d_lutescens	dsuz
teissieri_group	DMEL_CRE_00003	tier2	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00009	tier2	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	present	no_detected_CRE	present	present	present
teissieri_group	DMEL_CRE_00010	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00035	tier2	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	present	no_detected_CRE	present	present	present
teissieri_group	DMEL_CRE_00041	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00056	tier2	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00102	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00105	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00123	tier2	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00132	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00139	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00142	tier2	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	present	no_detected_CRE	present	present	present
teissieri_group	DMEL_CRE_00150	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00168	tier2	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00171	tier2	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	present	no_detected_CRE	present	present	present
teissieri_group	DMEL_CRE_00182	tier2	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00184	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00190	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00193	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00196	tier2	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	present	no_detected_CRE	present	present	present
teissieri_group	DMEL_CRE_00217	tier2	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	present	no_detected_CRE	present	present	present
teissieri_group	DMEL_CRE_00230	tier2	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00239	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00260	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00297	tier2	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	present	no_detected_CRE	present	present	present
teissieri_group	DMEL_CRE_00303	tier2	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00308	tier2	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	present	no_detected_CRE	present	present	present
teissieri_group	DMEL_CRE_00321	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
