dmel_cre_id	dazt	d_affinis	dmir	dper	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00002	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00003	present	no_detected_CRE	turnover_candidate	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00004	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00005	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00010	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00011	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00013	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00014	turnover_candidate	no_detected_CRE	no_detected_CRE	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00016	no_detected_CRE	uncertain	no_detected_CRE	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00017	present	turnover_candidate	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00019	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00020	present	turnover_candidate	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00021	turnover_candidate	turnover_candidate	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00023	present	present	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00024	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00025	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00026	turnover_candidate	no_detected_CRE	no_detected_CRE	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00028	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00029	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00030	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00031	no_detected_CRE	no_detected_CRE	present	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00032	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00034	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00035	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00036	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00037	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00038	present	turnover_candidate	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00039	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00040	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00041	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00042	turnover_candidate	no_detected_CRE	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00043	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00044	present	no_detected_CRE	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00045	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00046	present	turnover_candidate	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00047	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00048	uncertain	uncertain	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00049	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00050	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00051	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00053	turnover_candidate	turnover_candidate	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00054	turnover_candidate	turnover_candidate	present	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
