dmel_cre_id	dazt	d_affinis	dmir	dper	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00006	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	d_affinis	turnover_candidate	no_detected_CRE	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00007	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	d_affinis	present	no_detected_CRE	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00009	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	detection_contrast	tier2	d_affinis	no_detected_CRE	turnover_candidate	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00022	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	detection_contrast	tier2	dmir	present	no_detected_CRE	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00027	turnover_candidate	turnover_candidate	turnover_candidate	no_detected_CRE	detection_contrast	tier2	dper	no_detected_CRE	turnover_candidate	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00033	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	d_affinis	present	no_detected_CRE	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00058	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	detection_contrast	tier2	d_affinis	no_detected_CRE	turnover_candidate	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00068	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	dazt	turnover_candidate	no_detected_CRE	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00069	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	dazt	turnover_candidate	no_detected_CRE	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00073	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	dazt	turnover_candidate	no_detected_CRE	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00100	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	detection_contrast	tier2	d_affinis	no_detected_CRE	turnover_candidate	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00104	turnover_candidate	turnover_candidate	no_detected_CRE	turnover_candidate	detection_contrast	tier2	dmir	no_detected_CRE	turnover_candidate	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00113	turnover_candidate	turnover_candidate	no_detected_CRE	turnover_candidate	detection_contrast	tier2	dmir	no_detected_CRE	turnover_candidate	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00151	turnover_candidate	turnover_candidate	no_detected_CRE	turnover_candidate	detection_contrast	tier2	dmir	no_detected_CRE	turnover_candidate	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00159	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	detection_contrast	tier2	dmir	present	no_detected_CRE	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00161	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	detection_contrast	tier2	dper	turnover_candidate	no_detected_CRE	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00166	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	dazt	turnover_candidate	no_detected_CRE	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00168	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	dazt	turnover_candidate	no_detected_CRE	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00169	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	detection_contrast	tier2	dazt	no_detected_CRE	turnover_candidate	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
