dmel_cre_id	dimm	dfor	dsul	dnas	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00001	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00002	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00003	uncertain	uncertain	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00004	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00006	uncertain	uncertain	no_detected_CRE	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00008	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00010	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00011	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00012	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00014	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00015	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
