dmel_cre_id	dimm	dfor	dsul	dnas	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00005	uncertain	no_detected_CRE	uncertain	uncertain	other_singleton_contrast	tier3	dfor	no_detected_CRE	uncertain	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00009	present	present	uncertain	present	other_singleton_contrast	tier3	dsul	uncertain	present	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00013	uncertain	turnover_candidate	uncertain	uncertain	other_singleton_contrast	tier3	dfor	turnover_candidate	uncertain	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00033	uncertain	uncertain	no_detected_CRE	uncertain	other_singleton_contrast	tier3	dsul	no_detected_CRE	uncertain	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00049	uncertain	uncertain	no_detected_CRE	uncertain	other_singleton_contrast	tier3	dsul	no_detected_CRE	uncertain	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00058	no_detected_CRE	uncertain	uncertain	uncertain	other_singleton_contrast	tier3	dimm	no_detected_CRE	uncertain	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00075	uncertain	no_detected_CRE	uncertain	uncertain	other_singleton_contrast	tier3	dfor	no_detected_CRE	uncertain	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00093	uncertain	uncertain	turnover_candidate	uncertain	other_singleton_contrast	tier3	dsul	turnover_candidate	uncertain	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00100	uncertain	uncertain	no_detected_CRE	uncertain	other_singleton_contrast	tier3	dsul	no_detected_CRE	uncertain	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00114	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	other_singleton_contrast	tier3	dfor	uncertain	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00121	turnover_candidate	turnover_candidate	uncertain	turnover_candidate	other_singleton_contrast	tier3	dsul	uncertain	turnover_candidate	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00130	uncertain	uncertain	uncertain	present	other_singleton_contrast	tier3	dnas	present	uncertain	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00140	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	other_singleton_contrast	tier3	dnas	uncertain	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00169	uncertain	present	present	present	other_singleton_contrast	tier3	dimm	uncertain	present	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00172	uncertain	uncertain	uncertain	no_detected_CRE	other_singleton_contrast	tier3	dnas	no_detected_CRE	uncertain	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00178	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	other_singleton_contrast	tier3	dfor	uncertain	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00183	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	other_singleton_contrast	tier3	dsul	uncertain	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00185	uncertain	uncertain	uncertain	no_detected_CRE	other_singleton_contrast	tier3	dnas	no_detected_CRE	uncertain	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00220	no_detected_CRE	uncertain	no_detected_CRE	no_detected_CRE	other_singleton_contrast	tier3	dfor	uncertain	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00232	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE	other_singleton_contrast	tier3	dsul	uncertain	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
