dmel_cre_id	d_repleta	d_buzzatii	d_mojavensis	d_arizonae	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00009	uncertain	present	uncertain	uncertain	other_singleton_contrast	tier3	d_buzzatii	present	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00011	turnover_candidate	uncertain	uncertain	uncertain	other_singleton_contrast	tier3	d_repleta	turnover_candidate	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00024	no_detected_CRE	uncertain	uncertain	uncertain	other_singleton_contrast	tier3	d_repleta	no_detected_CRE	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00031	turnover_candidate	uncertain	uncertain	uncertain	other_singleton_contrast	tier3	d_repleta	turnover_candidate	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00043	uncertain	no_detected_CRE	uncertain	uncertain	other_singleton_contrast	tier3	d_buzzatii	no_detected_CRE	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00055	uncertain	turnover_candidate	turnover_candidate	turnover_candidate	other_singleton_contrast	tier3	d_repleta	uncertain	turnover_candidate	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00057	uncertain	uncertain	uncertain	no_detected_CRE	other_singleton_contrast	tier3	d_arizonae	no_detected_CRE	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00069	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain	other_singleton_contrast	tier3	d_arizonae	uncertain	no_detected_CRE	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00075	no_detected_CRE	uncertain	uncertain	uncertain	other_singleton_contrast	tier3	d_repleta	no_detected_CRE	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00077	turnover_candidate	uncertain	turnover_candidate	turnover_candidate	other_singleton_contrast	tier3	d_buzzatii	uncertain	turnover_candidate	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00082	uncertain	uncertain	turnover_candidate	uncertain	other_singleton_contrast	tier3	d_mojavensis	turnover_candidate	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00085	no_detected_CRE	uncertain	uncertain	uncertain	other_singleton_contrast	tier3	d_repleta	no_detected_CRE	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00087	uncertain	no_detected_CRE	no_detected_CRE	no_detected_CRE	other_singleton_contrast	tier3	d_repleta	uncertain	no_detected_CRE	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00092	uncertain	uncertain	uncertain	no_detected_CRE	other_singleton_contrast	tier3	d_arizonae	no_detected_CRE	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00095	uncertain	uncertain	no_detected_CRE	uncertain	other_singleton_contrast	tier3	d_mojavensis	no_detected_CRE	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00112	uncertain	turnover_candidate	uncertain	uncertain	other_singleton_contrast	tier3	d_buzzatii	turnover_candidate	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00114	uncertain	uncertain	no_detected_CRE	uncertain	other_singleton_contrast	tier3	d_mojavensis	no_detected_CRE	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00117	uncertain	no_detected_CRE	uncertain	uncertain	other_singleton_contrast	tier3	d_buzzatii	no_detected_CRE	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00121	turnover_candidate	uncertain	uncertain	uncertain	other_singleton_contrast	tier3	d_repleta	turnover_candidate	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00124	uncertain	uncertain	uncertain	no_detected_CRE	other_singleton_contrast	tier3	d_arizonae	no_detected_CRE	uncertain	3	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
