dmel_cre_id	group_name	discordant_species	discordant_state	consensus_state	n_group_species	n_consensus_species	group_species	pattern_class
DMEL_CRE_00003	obscura_group	dobs	turnover_candidate	present	3	2	dsub|dbif|dobs	present_vs_turnover
DMEL_CRE_00004	rufa_group	dbun	present	turnover_candidate	5	4	druf|dkik|dbun|dbir|d_serrata	present_vs_turnover
DMEL_CRE_00017	teissieri_group	dtei	present	turnover_candidate	4	3	dtei|d_simulans|d_lutescens|dsuz	present_vs_turnover
DMEL_CRE_00019	teissieri_group	dsuz	present	turnover_candidate	4	3	dtei|d_simulans|d_lutescens|dsuz	present_vs_turnover
DMEL_CRE_00021	teissieri_group	d_lutescens	present	turnover_candidate	4	3	dtei|d_simulans|d_lutescens|dsuz	present_vs_turnover
DMEL_CRE_00029	teissieri_group	dsuz	turnover_candidate	present	4	3	dtei|d_simulans|d_lutescens|dsuz	present_vs_turnover
DMEL_CRE_00030	teissieri_group	dtei	turnover_candidate	present	4	3	dtei|d_simulans|d_lutescens|dsuz	present_vs_turnover
DMEL_CRE_00038	obscura_group	dbif	present	turnover_candidate	3	2	dsub|dbif|dobs	present_vs_turnover
DMEL_CRE_00042	obscura_group	dbif	present	turnover_candidate	3	2	dsub|dbif|dobs	present_vs_turnover
DMEL_CRE_00052	immigrans_group	dimm	turnover_candidate	present	4	3	dimm|dfor|dsul|dnas	present_vs_turnover
DMEL_CRE_00052	obscura_group	dobs	turnover_candidate	present	3	2	dsub|dbif|dobs	present_vs_turnover
DMEL_CRE_00052	rufa_group	dkik	turnover_candidate	present	5	4	druf|dkik|dbun|dbir|d_serrata	present_vs_turnover
DMEL_CRE_00064	teissieri_group	d_simulans	present	turnover_candidate	4	3	dtei|d_simulans|d_lutescens|dsuz	present_vs_turnover
DMEL_CRE_00065	obscura_group	dsub	present	turnover_candidate	3	2	dsub|dbif|dobs	present_vs_turnover
DMEL_CRE_00065	rufa_group	d_serrata	present	turnover_candidate	5	4	druf|dkik|dbun|dbir|d_serrata	present_vs_turnover
DMEL_CRE_00072	teissieri_group	d_simulans	turnover_candidate	present	4	3	dtei|d_simulans|d_lutescens|dsuz	present_vs_turnover
DMEL_CRE_00077	immigrans_group	dimm	present	turnover_candidate	4	3	dimm|dfor|dsul|dnas	present_vs_turnover
