dmel_cre_id	n_secondary_tier1_clades	secondary_tier1_clades	discordant_species	discordant_states	consensus_states	secondary_recurrence
DMEL_CRE_00331	4	azteca_affinis_miranda_group|repleta_group|rufa_group|teissieri_group	d_buzzatii|d_lutescens|d_serrata|dazt	present|turnover_candidate	present|turnover_candidate	recurrent
DMEL_CRE_00052	3	immigrans_group|obscura_group|rufa_group	dimm|dkik|dobs	turnover_candidate	present	recurrent
DMEL_CRE_00151	3	obscura_group|rufa_group|teissieri_group	dbif|druf|dsuz	present|turnover_candidate	present|turnover_candidate	recurrent
DMEL_CRE_00330	3	azteca_affinis_miranda_group|rufa_group|teissieri_group	d_lutescens|d_serrata|dazt	turnover_candidate	present	recurrent
DMEL_CRE_00065	2	obscura_group|rufa_group	d_serrata|dsub	present	turnover_candidate	recurrent
DMEL_CRE_00078	2	azteca_affinis_miranda_group|teissieri_group	d_affinis|dsuz	present|turnover_candidate	present|turnover_candidate	recurrent
DMEL_CRE_00080	2	azteca_affinis_miranda_group|immigrans_group	dazt|dnas	present	turnover_candidate	recurrent
DMEL_CRE_00152	2	obscura_group|teissieri_group	d_simulans|dsub	present|turnover_candidate	present|turnover_candidate	recurrent
DMEL_CRE_00275	2	azteca_affinis_miranda_group|repleta_group	d_buzzatii|dper	present|turnover_candidate	present|turnover_candidate	recurrent
DMEL_CRE_00309	2	azteca_affinis_miranda_group|obscura_group	dazt|dsub	present	turnover_candidate	recurrent
DMEL_CRE_00310	2	azteca_affinis_miranda_group|repleta_group	d_arizonae|dazt	present|turnover_candidate	present|turnover_candidate	recurrent
DMEL_CRE_00003	1	obscura_group	dobs	turnover_candidate	present	single_clade
DMEL_CRE_00004	1	rufa_group	dbun	present	turnover_candidate	single_clade
DMEL_CRE_00017	1	teissieri_group	dtei	present	turnover_candidate	single_clade
DMEL_CRE_00019	1	teissieri_group	dsuz	present	turnover_candidate	single_clade
DMEL_CRE_00021	1	teissieri_group	d_lutescens	present	turnover_candidate	single_clade
DMEL_CRE_00029	1	teissieri_group	dsuz	turnover_candidate	present	single_clade
DMEL_CRE_00030	1	teissieri_group	dtei	turnover_candidate	present	single_clade
DMEL_CRE_00038	1	obscura_group	dbif	present	turnover_candidate	single_clade
DMEL_CRE_00042	1	obscura_group	dbif	present	turnover_candidate	single_clade
DMEL_CRE_00064	1	teissieri_group	d_simulans	present	turnover_candidate	single_clade
DMEL_CRE_00072	1	teissieri_group	d_simulans	turnover_candidate	present	single_clade
DMEL_CRE_00077	1	immigrans_group	dimm	present	turnover_candidate	single_clade
DMEL_CRE_00082	1	rufa_group	dbir	present	turnover_candidate	single_clade
DMEL_CRE_00083	1	teissieri_group	d_simulans	present	turnover_candidate	single_clade
DMEL_CRE_00093	1	obscura_group	dsub	present	turnover_candidate	single_clade
DMEL_CRE_00106	1	teissieri_group	dtei	present	turnover_candidate	single_clade
DMEL_CRE_00115	1	teissieri_group	dsuz	turnover_candidate	present	single_clade
DMEL_CRE_00120	1	obscura_group	dobs	present	turnover_candidate	single_clade
DMEL_CRE_00121	1	obscura_group	dsub	turnover_candidate	present	single_clade
DMEL_CRE_00122	1	obscura_group	dsub	turnover_candidate	present	single_clade
DMEL_CRE_00153	1	teissieri_group	dsuz	turnover_candidate	present	single_clade
DMEL_CRE_00154	1	rufa_group	druf	turnover_candidate	present	single_clade
DMEL_CRE_00164	1	teissieri_group	d_lutescens	present	turnover_candidate	single_clade
DMEL_CRE_00175	1	obscura_group	dbif	present	turnover_candidate	single_clade
DMEL_CRE_00178	1	rufa_group	dbun	present	turnover_candidate	single_clade
DMEL_CRE_00186	1	immigrans_group	dfor	turnover_candidate	present	single_clade
DMEL_CRE_00203	1	teissieri_group	d_lutescens	turnover_candidate	present	single_clade
DMEL_CRE_00255	1	repleta_group	d_arizonae	present	turnover_candidate	single_clade
DMEL_CRE_00276	1	obscura_group	dsub	turnover_candidate	present	single_clade
DMEL_CRE_00277	1	obscura_group	dbif	turnover_candidate	present	single_clade
DMEL_CRE_00306	1	repleta_group	d_repleta	turnover_candidate	present	single_clade
DMEL_CRE_00321	1	rufa_group	dbir	present	turnover_candidate	single_clade
