dmel_cre_id	dtei	d_simulans	d_lutescens	dsuz	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00001	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00004	no_detected_CRE	present	present	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00006	present	no_detected_CRE	no_detected_CRE	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00007	turnover_candidate	present	no_detected_CRE	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00008	present	present	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00011	no_detected_CRE	present	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00012	no_detected_CRE	present	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00013	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00014	no_detected_CRE	present	present	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00015	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00016	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00018	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00020	turnover_candidate	present	turnover_candidate	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00022	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00025	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00026	no_detected_CRE	present	no_detected_CRE	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00028	no_detected_CRE	present	no_detected_CRE	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00031	turnover_candidate	turnover_candidate	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00032	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00033	no_detected_CRE	present	present	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00036	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00037	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00038	present	turnover_candidate	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00039	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00040	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00042	no_detected_CRE	no_detected_CRE	turnover_candidate	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00044	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00047	present	no_detected_CRE	no_detected_CRE	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00048	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00049	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00050	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00052	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00053	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00054	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00055	turnover_candidate	present	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00057	no_detected_CRE	turnover_candidate	present	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00058	no_detected_CRE	turnover_candidate	turnover_candidate	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00059	no_detected_CRE	present	no_detected_CRE	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00061	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00062	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00063	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00065	turnover_candidate	present	turnover_candidate	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00066	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00067	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00068	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00069	turnover_candidate	turnover_candidate	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00071	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00074	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00076	no_detected_CRE	no_detected_CRE	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00077	turnover_candidate	present	present	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00079	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00080	turnover_candidate	turnover_candidate	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00081	no_detected_CRE	turnover_candidate	no_detected_CRE	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00082	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00084	turnover_candidate	present	turnover_candidate	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00087	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00089	no_detected_CRE	turnover_candidate	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00094	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00096	turnover_candidate	no_detected_CRE	no_detected_CRE	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00097	turnover_candidate	no_detected_CRE	no_detected_CRE	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00098	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00099	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00100	turnover_candidate	present	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00101	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00103	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00107	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00108	present	present	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00110	no_detected_CRE	no_detected_CRE	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00111	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00112	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00117	no_detected_CRE	no_detected_CRE	present	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00120	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00121	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00122	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00125	present	present	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00126	turnover_candidate	present	present	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00127	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00131	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00133	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00134	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
