dmel_cre_id	dtei	d_simulans	d_lutescens	dsuz	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00017	present	turnover_candidate	turnover_candidate	turnover_candidate	present_vs_turnover	tier1	dtei	present	turnover_candidate	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00019	turnover_candidate	turnover_candidate	turnover_candidate	present	present_vs_turnover	tier1	dsuz	present	turnover_candidate	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00021	turnover_candidate	turnover_candidate	present	turnover_candidate	present_vs_turnover	tier1	d_lutescens	present	turnover_candidate	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00029	present	present	present	turnover_candidate	present_vs_turnover	tier1	dsuz	turnover_candidate	present	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00030	turnover_candidate	present	present	present	present_vs_turnover	tier1	dtei	turnover_candidate	present	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00064	turnover_candidate	present	turnover_candidate	turnover_candidate	present_vs_turnover	tier1	d_simulans	present	turnover_candidate	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00072	present	turnover_candidate	present	present	present_vs_turnover	tier1	d_simulans	turnover_candidate	present	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00078	turnover_candidate	turnover_candidate	turnover_candidate	present	present_vs_turnover	tier1	dsuz	present	turnover_candidate	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00083	turnover_candidate	present	turnover_candidate	turnover_candidate	present_vs_turnover	tier1	d_simulans	present	turnover_candidate	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00106	present	turnover_candidate	turnover_candidate	turnover_candidate	present_vs_turnover	tier1	dtei	present	turnover_candidate	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00115	present	present	present	turnover_candidate	present_vs_turnover	tier1	dsuz	turnover_candidate	present	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00151	present	present	present	turnover_candidate	present_vs_turnover	tier1	dsuz	turnover_candidate	present	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00152	turnover_candidate	present	turnover_candidate	turnover_candidate	present_vs_turnover	tier1	d_simulans	present	turnover_candidate	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00153	present	present	present	turnover_candidate	present_vs_turnover	tier1	dsuz	turnover_candidate	present	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00164	turnover_candidate	turnover_candidate	present	turnover_candidate	present_vs_turnover	tier1	d_lutescens	present	turnover_candidate	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00203	present	present	turnover_candidate	present	present_vs_turnover	tier1	d_lutescens	turnover_candidate	present	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00330	present	present	turnover_candidate	present	present_vs_turnover	tier1	d_lutescens	turnover_candidate	present	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00331	present	present	turnover_candidate	present	present_vs_turnover	tier1	d_lutescens	turnover_candidate	present	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
