fbgn	gene_support_score	best_downstream_priority	best_candidate_priority	best_gene_role	n_candidate_cres	candidate_cre_ids	n_primary_cres	primary_cre_ids	n_secondary_cres	secondary_cre_ids	n_recurrent_cres	recurrent_cre_ids	n_focal_supported_cres	focal_supported_cre_ids	n_high_priority_cres	high_priority_cre_ids	n_medium_priority_cres	medium_priority_cre_ids	n_exploratory_cres	exploratory_cre_ids	n_unique_tier1_clades	tier1_clades	max_total_tier1_clades_per_cre	max_focal_tier1_clades_per_cre	max_secondary_only_clades_per_cre	has_primary_assignment	has_secondary_assignment
FBgn0262127	18	high	focal_plus_secondary_recurrent	primary_candidate	3	DMEL_CRE_00151|DMEL_CRE_00152|DMEL_CRE_00153	3	DMEL_CRE_00151|DMEL_CRE_00152|DMEL_CRE_00153	0		2	DMEL_CRE_00151|DMEL_CRE_00152	2	DMEL_CRE_00151|DMEL_CRE_00152	2	DMEL_CRE_00151|DMEL_CRE_00152	0		1	DMEL_CRE_00153	3	obscura_group|rufa_group|teissieri_group	3	1	2	yes	no
FBgn0267001	17	high	focal_plus_secondary_recurrent	primary_candidate	3	DMEL_CRE_00077|DMEL_CRE_00078|DMEL_CRE_00080	3	DMEL_CRE_00077|DMEL_CRE_00078|DMEL_CRE_00080	0		2	DMEL_CRE_00078|DMEL_CRE_00080	2	DMEL_CRE_00077|DMEL_CRE_00080	1	DMEL_CRE_00080	2	DMEL_CRE_00077|DMEL_CRE_00078	0		3	azteca_affinis_miranda_group|immigrans_group|teissieri_group	2	1	2	yes	no
FBgn0000567	16	high	focal_plus_secondary_recurrent	primary_candidate	2	DMEL_CRE_00330|DMEL_CRE_00331	2	DMEL_CRE_00330|DMEL_CRE_00331	0		2	DMEL_CRE_00330|DMEL_CRE_00331	2	DMEL_CRE_00330|DMEL_CRE_00331	2	DMEL_CRE_00330|DMEL_CRE_00331	0		0		4	azteca_affinis_miranda_group|repleta_group|rufa_group|teissieri_group	4	1	3	yes	no
FBgn0038256	15	high	focal_plus_secondary_recurrent	secondary_candidate	3	DMEL_CRE_00151|DMEL_CRE_00152|DMEL_CRE_00153	0		3	DMEL_CRE_00151|DMEL_CRE_00152|DMEL_CRE_00153	2	DMEL_CRE_00151|DMEL_CRE_00152	2	DMEL_CRE_00151|DMEL_CRE_00152	2	DMEL_CRE_00151|DMEL_CRE_00152	0		1	DMEL_CRE_00153	3	obscura_group|rufa_group|teissieri_group	3	1	2	no	yes
FBgn0261260	10	high	focal_plus_secondary_recurrent	primary_candidate	2	DMEL_CRE_00064|DMEL_CRE_00065	2	DMEL_CRE_00064|DMEL_CRE_00065	0		1	DMEL_CRE_00065	1	DMEL_CRE_00065	1	DMEL_CRE_00065	0		1	DMEL_CRE_00064	3	obscura_group|rufa_group|teissieri_group	2	1	1	yes	no
FBgn0266050	8	high	focal_plus_secondary_recurrent	secondary_candidate	2	DMEL_CRE_00064|DMEL_CRE_00065	0		2	DMEL_CRE_00064|DMEL_CRE_00065	1	DMEL_CRE_00065	1	DMEL_CRE_00065	1	DMEL_CRE_00065	0		1	DMEL_CRE_00064	3	obscura_group|rufa_group|teissieri_group	2	1	1	no	yes
FBgn0016694	8	high	focal_recurrent	primary_candidate	1	DMEL_CRE_00309	1	DMEL_CRE_00309	0		1	DMEL_CRE_00309	1	DMEL_CRE_00309	1	DMEL_CRE_00309	0		0		2	azteca_affinis_miranda_group|obscura_group	2	2	0	yes	no
FBgn0003149	8	high	focal_plus_secondary_recurrent	primary_candidate	1	DMEL_CRE_00310	1	DMEL_CRE_00310	0		1	DMEL_CRE_00310	1	DMEL_CRE_00310	1	DMEL_CRE_00310	0		0		2	azteca_affinis_miranda_group|repleta_group	2	1	1	yes	no
FBgn0004198	8	high	focal_plus_secondary_recurrent	primary_candidate	1	DMEL_CRE_00052	1	DMEL_CRE_00052	0		1	DMEL_CRE_00052	1	DMEL_CRE_00052	1	DMEL_CRE_00052	0		0		3	immigrans_group|obscura_group|rufa_group	3	1	2	yes	no
FBgn0052365	7	high	focal_recurrent	secondary_candidate	1	DMEL_CRE_00309	0		1	DMEL_CRE_00309	1	DMEL_CRE_00309	1	DMEL_CRE_00309	1	DMEL_CRE_00309	0		0		2	azteca_affinis_miranda_group|obscura_group	2	2	0	no	yes
