dmel_cre_id	overlap_retained_n	overlap_retention_pct	overlap_sensitive	overlap_lost_scenarios	distance_retained_n	distance_retention_pct	distance_sensitive	distance_lost_scenarios	parameter_sensitivity_class
DMEL_CRE_00003	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00004	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00019	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00021	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00029	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00030	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00042	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00052	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00064	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00065	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00077	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00078	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00080	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00083	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00093	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00106	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00120	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00178	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00275	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00276	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00310	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00321	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00330	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00331	3	100.0	no	NA	3	100.0	no	NA	robust_to_both
DMEL_CRE_00017	2	66.7	yes	ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00038	2	66.7	yes	ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00072	2	66.7	yes	ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00082	2	66.7	yes	ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00115	2	66.7	yes	ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00121	2	66.7	yes	ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00122	2	66.7	yes	ov025_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00151	2	66.7	yes	ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00152	2	66.7	yes	ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00153	2	66.7	yes	ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00154	1	33.3	yes	ov025_dist24000|ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00186	1	33.3	yes	ov025_dist24000|ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00203	2	66.7	yes	ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00277	1	33.3	yes	ov025_dist24000|ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00306	2	66.7	yes	ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00309	2	66.7	yes	ov075_dist24000	3	100.0	no	NA	overlap_sensitive_only
DMEL_CRE_00164	3	100.0	no	NA	2	66.7	yes	ov050_dist12000	distance_sensitive_only
DMEL_CRE_00255	3	100.0	no	NA	2	66.7	yes	ov050_dist12000	distance_sensitive_only
DMEL_CRE_00175	2	66.7	yes	ov075_dist24000	2	66.7	yes	ov050_dist12000	sensitive_to_both
