dmel_cre_id	ov025_dist12000	ov025_dist24000	ov025_dist48000	ov050_dist12000	ov050_dist24000	ov050_dist48000	ov075_dist12000	ov075_dist24000	ov075_dist48000
DMEL_CRE_00003	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single
DMEL_CRE_00004	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single
DMEL_CRE_00017	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00019	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single
DMEL_CRE_00021	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single
DMEL_CRE_00029	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single
DMEL_CRE_00030	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single
DMEL_CRE_00038	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00042	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_recurrent	secondary_recurrent	secondary_recurrent
DMEL_CRE_00052	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	secondary_single	secondary_single	secondary_single
DMEL_CRE_00064	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single
DMEL_CRE_00065	focal_recurrent	focal_recurrent	focal_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_single	focal_single	focal_single
DMEL_CRE_00072	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00077	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent
DMEL_CRE_00078	secondary_recurrent	secondary_recurrent	secondary_recurrent	secondary_recurrent	secondary_recurrent	secondary_recurrent	secondary_single	secondary_single	secondary_single
DMEL_CRE_00080	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	secondary_recurrent	secondary_recurrent	secondary_recurrent
DMEL_CRE_00082	secondary_recurrent	secondary_recurrent	secondary_recurrent	secondary_single	secondary_single	secondary_single	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00083	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single
DMEL_CRE_00093	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single
DMEL_CRE_00106	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single
DMEL_CRE_00115	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00120	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_recurrent	secondary_recurrent	secondary_recurrent
DMEL_CRE_00121	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00122	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate	focal_single	focal_single	focal_single	secondary_recurrent	secondary_recurrent	secondary_recurrent
DMEL_CRE_00151	focal_recurrent	focal_recurrent	focal_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00152	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00153	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00154	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate	focal_single	focal_single	focal_single	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00164	not_tier1_candidate	secondary_single	secondary_single	not_tier1_candidate	secondary_single	secondary_single	not_tier1_candidate	secondary_single	secondary_single
DMEL_CRE_00175	not_tier1_candidate	secondary_single	secondary_single	not_tier1_candidate	secondary_single	secondary_single	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00178	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single
DMEL_CRE_00186	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate	secondary_single	secondary_single	secondary_single	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00203	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	secondary_single	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00255	not_tier1_candidate	secondary_single	secondary_single	not_tier1_candidate	secondary_single	secondary_single	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent
DMEL_CRE_00275	secondary_single	secondary_single	secondary_single	secondary_recurrent	secondary_recurrent	secondary_recurrent	focal_single	focal_single	focal_single
DMEL_CRE_00276	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	secondary_recurrent	secondary_recurrent	secondary_recurrent
DMEL_CRE_00277	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate	secondary_single	secondary_single	secondary_single	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00306	focal_single	focal_single	focal_single	focal_single	focal_single	focal_single	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00309	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_recurrent	focal_recurrent	focal_recurrent	not_tier1_candidate	not_tier1_candidate	not_tier1_candidate
DMEL_CRE_00310	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent
DMEL_CRE_00321	secondary_recurrent	secondary_recurrent	secondary_recurrent	secondary_single	secondary_single	secondary_single	secondary_recurrent	secondary_recurrent	secondary_recurrent
DMEL_CRE_00330	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	secondary_recurrent	secondary_recurrent	secondary_recurrent
DMEL_CRE_00331	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent	focal_plus_secondary_recurrent
