dmel_cre_id	ov025_dist12000	ov025_dist24000	ov025_dist48000	ov050_dist12000	ov050_dist24000	ov050_dist48000	ov075_dist12000	ov075_dist24000	ov075_dist48000
DMEL_CRE_00003	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00004	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00017	yes	yes	yes	yes	yes	yes	no	no	no
DMEL_CRE_00019	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00021	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00029	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00030	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00038	yes	yes	yes	yes	yes	yes	no	no	no
DMEL_CRE_00042	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00052	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00064	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00065	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00072	yes	yes	yes	yes	yes	yes	no	no	no
DMEL_CRE_00077	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00078	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00080	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00082	yes	yes	yes	yes	yes	yes	no	no	no
DMEL_CRE_00083	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00093	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00106	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00115	yes	yes	yes	yes	yes	yes	no	no	no
DMEL_CRE_00120	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00121	yes	yes	yes	yes	yes	yes	no	no	no
DMEL_CRE_00122	no	no	no	yes	yes	yes	yes	yes	yes
DMEL_CRE_00151	yes	yes	yes	yes	yes	yes	no	no	no
DMEL_CRE_00152	yes	yes	yes	yes	yes	yes	no	no	no
DMEL_CRE_00153	yes	yes	yes	yes	yes	yes	no	no	no
DMEL_CRE_00154	no	no	no	yes	yes	yes	no	no	no
DMEL_CRE_00164	no	yes	yes	no	yes	yes	no	yes	yes
DMEL_CRE_00175	no	yes	yes	no	yes	yes	no	no	no
DMEL_CRE_00178	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00186	no	no	no	yes	yes	yes	no	no	no
DMEL_CRE_00203	yes	yes	yes	yes	yes	yes	no	no	no
DMEL_CRE_00255	no	yes	yes	no	yes	yes	yes	yes	yes
DMEL_CRE_00275	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00276	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00277	no	no	no	yes	yes	yes	no	no	no
DMEL_CRE_00306	yes	yes	yes	yes	yes	yes	no	no	no
DMEL_CRE_00309	yes	yes	yes	yes	yes	yes	no	no	no
DMEL_CRE_00310	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00321	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00330	yes	yes	yes	yes	yes	yes	yes	yes	yes
DMEL_CRE_00331	yes	yes	yes	yes	yes	yes	yes	yes	yes
