dmel_cre_id	primary_candidate_priority	n_scenarios	n_candidate_retained	percent_candidate_retained	robust_candidate_all_9	n_same_priority_as_primary	percent_same_priority_as_primary	robust_priority_all_9	lost_in_scenarios	changed_priority_in_scenarios
DMEL_CRE_00003	secondary_single	9	9	100.0	yes	9	100.0	yes	NA	NA
DMEL_CRE_00004	secondary_single	9	9	100.0	yes	9	100.0	yes	NA	NA
DMEL_CRE_00019	secondary_single	9	9	100.0	yes	9	100.0	yes	NA	NA
DMEL_CRE_00021	secondary_single	9	9	100.0	yes	9	100.0	yes	NA	NA
DMEL_CRE_00029	secondary_single	9	9	100.0	yes	9	100.0	yes	NA	NA
DMEL_CRE_00030	focal_single	9	9	100.0	yes	9	100.0	yes	NA	NA
DMEL_CRE_00064	secondary_single	9	9	100.0	yes	9	100.0	yes	NA	NA
DMEL_CRE_00083	secondary_single	9	9	100.0	yes	9	100.0	yes	NA	NA
DMEL_CRE_00093	focal_single	9	9	100.0	yes	9	100.0	yes	NA	NA
DMEL_CRE_00106	focal_single	9	9	100.0	yes	9	100.0	yes	NA	NA
DMEL_CRE_00178	secondary_single	9	9	100.0	yes	9	100.0	yes	NA	NA
DMEL_CRE_00310	focal_plus_secondary_recurrent	9	9	100.0	yes	9	100.0	yes	NA	NA
DMEL_CRE_00331	focal_plus_secondary_recurrent	9	9	100.0	yes	9	100.0	yes	NA	NA
DMEL_CRE_00042	secondary_single	9	9	100.0	yes	6	66.66666666666666	no	NA	ov075_dist12000:secondary_recurrent|ov075_dist24000:secondary_recurrent|ov075_dist48000:secondary_recurrent
DMEL_CRE_00052	focal_plus_secondary_recurrent	9	9	100.0	yes	6	66.66666666666666	no	NA	ov075_dist12000:secondary_single|ov075_dist24000:secondary_single|ov075_dist48000:secondary_single
DMEL_CRE_00077	focal_single	9	9	100.0	yes	6	66.66666666666666	no	NA	ov075_dist12000:focal_plus_secondary_recurrent|ov075_dist24000:focal_plus_secondary_recurrent|ov075_dist48000:focal_plus_secondary_recurrent
DMEL_CRE_00078	secondary_recurrent	9	9	100.0	yes	6	66.66666666666666	no	NA	ov075_dist12000:secondary_single|ov075_dist24000:secondary_single|ov075_dist48000:secondary_single
DMEL_CRE_00080	focal_plus_secondary_recurrent	9	9	100.0	yes	6	66.66666666666666	no	NA	ov075_dist12000:secondary_recurrent|ov075_dist24000:secondary_recurrent|ov075_dist48000:secondary_recurrent
