species	n_cre	n_identical	n_changed	percent_identical
dazt	337	337	0	100.0
dbif	337	337	0	100.0
dbir	337	337	0	100.0
dbun	337	337	0	100.0
dequ	337	337	0	100.0
dfor	337	337	0	100.0
dfun	337	337	0	100.0
dimm	337	337	0	100.0
dkik	337	337	0	100.0
dmir	337	337	0	100.0
dnas	337	337	0	100.0
dobs	337	337	0	100.0
dper	337	337	0	100.0
dpha	337	337	0	100.0
dpse	337	337	0	100.0
druf	337	337	0	100.0
dsub	337	337	0	100.0
dsul	337	337	0	100.0
dsuz	337	337	0	100.0
dtei	337	337	0	100.0
dtro	337	337	0	100.0
dvir	337	337	0	100.0
zdav	337	337	0	100.0
zind	337	337	0	100.0
ztub	337	337	0	100.0
d_affinis	337	337	0	100.0
d_arizonae	337	337	0	100.0
d_bipectinata	337	337	0	100.0
d_buzzatii	337	337	0	100.0
d_ezoana	337	337	0	100.0
d_hydei	337	337	0	100.0
d_littoralis	337	337	0	100.0
d_lutescens	337	337	0	100.0
d_mercatorum	337	337	0	100.0
d_mojavensis	337	337	0	100.0
d_novamexicana	337	337	0	100.0
d_repleta	337	337	0	100.0
d_serrata	337	337	0	100.0
d_simulans	337	337	0	100.0
