scenario	dmel_cre_id	n_species	n_changed	percent_stable
ov025_dist12000	DMEL_CRE_00001	39	0	100.0
ov025_dist12000	DMEL_CRE_00002	39	0	100.0
ov025_dist12000	DMEL_CRE_00003	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00004	39	0	100.0
ov025_dist12000	DMEL_CRE_00005	39	3	92.3076923076923
ov025_dist12000	DMEL_CRE_00006	39	4	89.74358974358975
ov025_dist12000	DMEL_CRE_00007	39	3	92.3076923076923
ov025_dist12000	DMEL_CRE_00008	39	0	100.0
ov025_dist12000	DMEL_CRE_00009	39	0	100.0
ov025_dist12000	DMEL_CRE_00010	39	0	100.0
ov025_dist12000	DMEL_CRE_00011	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00012	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00013	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00014	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00015	39	0	100.0
ov025_dist12000	DMEL_CRE_00016	39	0	100.0
ov025_dist12000	DMEL_CRE_00017	39	0	100.0
ov025_dist12000	DMEL_CRE_00018	39	0	100.0
ov025_dist12000	DMEL_CRE_00019	39	0	100.0
ov025_dist12000	DMEL_CRE_00020	39	0	100.0
ov025_dist12000	DMEL_CRE_00021	39	0	100.0
ov025_dist12000	DMEL_CRE_00022	39	0	100.0
ov025_dist12000	DMEL_CRE_00023	39	0	100.0
ov025_dist12000	DMEL_CRE_00024	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00025	39	0	100.0
ov025_dist12000	DMEL_CRE_00026	39	4	89.74358974358975
ov025_dist12000	DMEL_CRE_00027	39	0	100.0
ov025_dist12000	DMEL_CRE_00028	39	0	100.0
ov025_dist12000	DMEL_CRE_00029	39	0	100.0
ov025_dist12000	DMEL_CRE_00030	39	0	100.0
ov025_dist12000	DMEL_CRE_00031	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00032	39	0	100.0
ov025_dist12000	DMEL_CRE_00033	39	0	100.0
ov025_dist12000	DMEL_CRE_00034	39	0	100.0
ov025_dist12000	DMEL_CRE_00035	39	3	92.3076923076923
ov025_dist12000	DMEL_CRE_00036	39	0	100.0
ov025_dist12000	DMEL_CRE_00037	39	0	100.0
ov025_dist12000	DMEL_CRE_00038	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00039	39	0	100.0
ov025_dist12000	DMEL_CRE_00040	39	0	100.0
ov025_dist12000	DMEL_CRE_00041	39	0	100.0
ov025_dist12000	DMEL_CRE_00042	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00043	39	0	100.0
ov025_dist12000	DMEL_CRE_00044	39	3	92.3076923076923
ov025_dist12000	DMEL_CRE_00045	39	0	100.0
ov025_dist12000	DMEL_CRE_00046	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00047	39	0	100.0
ov025_dist12000	DMEL_CRE_00048	39	0	100.0
ov025_dist12000	DMEL_CRE_00049	39	0	100.0
ov025_dist12000	DMEL_CRE_00050	39	0	100.0
ov025_dist12000	DMEL_CRE_00051	39	3	92.3076923076923
ov025_dist12000	DMEL_CRE_00052	39	4	89.74358974358975
ov025_dist12000	DMEL_CRE_00053	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00054	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00055	39	2	94.87179487179486
ov025_dist12000	DMEL_CRE_00056	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00057	39	0	100.0
ov025_dist12000	DMEL_CRE_00058	39	0	100.0
ov025_dist12000	DMEL_CRE_00059	39	0	100.0
ov025_dist12000	DMEL_CRE_00060	39	0	100.0
ov025_dist12000	DMEL_CRE_00061	39	2	94.87179487179486
ov025_dist12000	DMEL_CRE_00062	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00063	39	0	100.0
ov025_dist12000	DMEL_CRE_00064	39	0	100.0
ov025_dist12000	DMEL_CRE_00065	39	3	92.3076923076923
ov025_dist12000	DMEL_CRE_00066	39	0	100.0
ov025_dist12000	DMEL_CRE_00067	39	0	100.0
ov025_dist12000	DMEL_CRE_00068	39	0	100.0
ov025_dist12000	DMEL_CRE_00069	39	0	100.0
ov025_dist12000	DMEL_CRE_00070	39	0	100.0
ov025_dist12000	DMEL_CRE_00071	39	0	100.0
ov025_dist12000	DMEL_CRE_00072	39	0	100.0
ov025_dist12000	DMEL_CRE_00073	39	0	100.0
ov025_dist12000	DMEL_CRE_00074	39	0	100.0
ov025_dist12000	DMEL_CRE_00075	39	0	100.0
ov025_dist12000	DMEL_CRE_00076	39	0	100.0
ov025_dist12000	DMEL_CRE_00077	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00078	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00079	39	0	100.0
ov025_dist12000	DMEL_CRE_00080	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00081	39	0	100.0
ov025_dist12000	DMEL_CRE_00082	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00083	39	0	100.0
ov025_dist12000	DMEL_CRE_00084	39	0	100.0
ov025_dist12000	DMEL_CRE_00085	39	0	100.0
ov025_dist12000	DMEL_CRE_00086	39	0	100.0
ov025_dist12000	DMEL_CRE_00087	39	0	100.0
ov025_dist12000	DMEL_CRE_00088	39	0	100.0
ov025_dist12000	DMEL_CRE_00089	39	0	100.0
ov025_dist12000	DMEL_CRE_00090	39	0	100.0
ov025_dist12000	DMEL_CRE_00091	39	0	100.0
ov025_dist12000	DMEL_CRE_00092	39	0	100.0
ov025_dist12000	DMEL_CRE_00093	39	0	100.0
ov025_dist12000	DMEL_CRE_00094	39	5	87.17948717948718
ov025_dist12000	DMEL_CRE_00095	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00096	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00097	39	0	100.0
ov025_dist12000	DMEL_CRE_00098	39	0	100.0
ov025_dist12000	DMEL_CRE_00099	39	0	100.0
ov025_dist12000	DMEL_CRE_00100	39	0	100.0
ov025_dist12000	DMEL_CRE_00101	39	0	100.0
ov025_dist12000	DMEL_CRE_00102	39	2	94.87179487179486
ov025_dist12000	DMEL_CRE_00103	39	0	100.0
ov025_dist12000	DMEL_CRE_00104	39	0	100.0
ov025_dist12000	DMEL_CRE_00105	39	0	100.0
ov025_dist12000	DMEL_CRE_00106	39	0	100.0
ov025_dist12000	DMEL_CRE_00107	39	0	100.0
ov025_dist12000	DMEL_CRE_00108	39	0	100.0
ov025_dist12000	DMEL_CRE_00109	39	0	100.0
ov025_dist12000	DMEL_CRE_00110	39	0	100.0
ov025_dist12000	DMEL_CRE_00111	39	0	100.0
ov025_dist12000	DMEL_CRE_00112	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00113	39	4	89.74358974358975
ov025_dist12000	DMEL_CRE_00114	39	0	100.0
ov025_dist12000	DMEL_CRE_00115	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00116	39	0	100.0
ov025_dist12000	DMEL_CRE_00117	39	0	100.0
ov025_dist12000	DMEL_CRE_00118	39	0	100.0
ov025_dist12000	DMEL_CRE_00119	39	0	100.0
ov025_dist12000	DMEL_CRE_00120	39	0	100.0
ov025_dist12000	DMEL_CRE_00121	39	1	97.43589743589743
ov025_dist12000	DMEL_CRE_00122	39	2	94.87179487179486
ov025_dist12000	DMEL_CRE_00123	39	0	100.0
ov025_dist12000	DMEL_CRE_00124	39	0	100.0
ov025_dist12000	DMEL_CRE_00125	39	2	94.87179487179486
ov025_dist12000	DMEL_CRE_00126	39	0	100.0
ov025_dist12000	DMEL_CRE_00127	39	0	100.0
ov025_dist12000	DMEL_CRE_00128	39	0	100.0
ov025_dist12000	DMEL_CRE_00129	39	0	100.0
