scenario	species	n_cells	n_changed	percent_stable
ov025_dist12000	d_affinis	337	9	97.3293768545994
ov025_dist12000	d_arizonae	337	5	98.51632047477746
ov025_dist12000	d_bipectinata	337	7	97.92284866468842
ov025_dist12000	d_buzzatii	337	1	99.70326409495549
ov025_dist12000	d_ezoana	337	5	98.51632047477746
ov025_dist12000	d_hydei	337	5	98.51632047477746
ov025_dist12000	d_littoralis	337	4	98.81305637982196
ov025_dist12000	d_lutescens	337	7	97.92284866468842
ov025_dist12000	d_mercatorum	337	5	98.51632047477746
ov025_dist12000	d_mojavensis	337	5	98.51632047477746
ov025_dist12000	d_novamexicana	337	5	98.51632047477746
ov025_dist12000	d_repleta	337	4	98.81305637982196
ov025_dist12000	d_serrata	337	7	97.92284866468842
ov025_dist12000	d_simulans	337	3	99.10979228486647
ov025_dist12000	dazt	337	5	98.51632047477746
ov025_dist12000	dbif	337	5	98.51632047477746
ov025_dist12000	dbir	337	3	99.10979228486647
ov025_dist12000	dbun	337	9	97.3293768545994
ov025_dist12000	dequ	337	2	99.40652818991099
ov025_dist12000	dfor	337	8	97.62611275964392
ov025_dist12000	dfun	337	5	98.51632047477746
ov025_dist12000	dimm	337	3	99.10979228486647
ov025_dist12000	dkik	337	4	98.81305637982196
ov025_dist12000	dmir	337	5	98.51632047477746
ov025_dist12000	dnas	337	2	99.40652818991099
ov025_dist12000	dobs	337	10	97.03264094955489
ov025_dist12000	dper	337	6	98.21958456973294
ov025_dist12000	dpha	337	3	99.10979228486647
ov025_dist12000	dpse	337	7	97.92284866468842
ov025_dist12000	druf	337	11	96.73590504451039
ov025_dist12000	dsub	337	11	96.73590504451039
ov025_dist12000	dsul	337	4	98.81305637982196
ov025_dist12000	dsuz	337	6	98.21958456973294
ov025_dist12000	dtei	337	5	98.51632047477746
ov025_dist12000	dtro	337	6	98.21958456973294
ov025_dist12000	dvir	337	4	98.81305637982196
ov025_dist12000	zdav	337	9	97.3293768545994
ov025_dist12000	zind	337	6	98.21958456973294
ov025_dist12000	ztub	337	6	98.21958456973294
ov025_dist24000	d_affinis	337	8	97.62611275964392
ov025_dist24000	d_arizonae	337	3	99.10979228486647
ov025_dist24000	d_bipectinata	337	5	98.51632047477746
ov025_dist24000	d_buzzatii	337	1	99.70326409495549
ov025_dist24000	d_ezoana	337	3	99.10979228486647
ov025_dist24000	d_hydei	337	4	98.81305637982196
ov025_dist24000	d_littoralis	337	1	99.70326409495549
ov025_dist24000	d_lutescens	337	5	98.51632047477746
ov025_dist24000	d_mercatorum	337	3	99.10979228486647
ov025_dist24000	d_mojavensis	337	3	99.10979228486647
ov025_dist24000	d_novamexicana	337	1	99.70326409495549
ov025_dist24000	d_repleta	337	3	99.10979228486647
ov025_dist24000	d_serrata	337	4	98.81305637982196
ov025_dist24000	d_simulans	337	3	99.10979228486647
ov025_dist24000	dazt	337	4	98.81305637982196
ov025_dist24000	dbif	337	3	99.10979228486647
ov025_dist24000	dbir	337	1	99.70326409495549
ov025_dist24000	dbun	337	6	98.21958456973294
ov025_dist24000	dequ	337	2	99.40652818991099
ov025_dist24000	dfor	337	5	98.51632047477746
ov025_dist24000	dfun	337	2	99.40652818991099
ov025_dist24000	dimm	337	3	99.10979228486647
ov025_dist24000	dkik	337	2	99.40652818991099
ov025_dist24000	dmir	337	4	98.81305637982196
ov025_dist24000	dnas	337	1	99.70326409495549
ov025_dist24000	dobs	337	6	98.21958456973294
ov025_dist24000	dper	337	2	99.40652818991099
ov025_dist24000	dpha	337	2	99.40652818991099
ov025_dist24000	dpse	337	4	98.81305637982196
ov025_dist24000	druf	337	7	97.92284866468842
ov025_dist24000	dsub	337	4	98.81305637982196
ov025_dist24000	dsul	337	4	98.81305637982196
ov025_dist24000	dsuz	337	4	98.81305637982196
ov025_dist24000	dtei	337	2	99.40652818991099
ov025_dist24000	dtro	337	5	98.51632047477746
ov025_dist24000	dvir	337	3	99.10979228486647
ov025_dist24000	zdav	337	6	98.21958456973294
ov025_dist24000	zind	337	4	98.81305637982196
ov025_dist24000	ztub	337	4	98.81305637982196
ov025_dist48000	d_affinis	337	12	96.43916913946587
ov025_dist48000	d_arizonae	337	3	99.10979228486647
ov025_dist48000	d_bipectinata	337	9	97.3293768545994
ov025_dist48000	d_buzzatii	337	6	98.21958456973294
ov025_dist48000	d_ezoana	337	5	98.51632047477746
ov025_dist48000	d_hydei	337	7	97.92284866468842
ov025_dist48000	d_littoralis	337	1	99.70326409495549
ov025_dist48000	d_lutescens	337	7	97.92284866468842
ov025_dist48000	d_mercatorum	337	3	99.10979228486647
ov025_dist48000	d_mojavensis	337	5	98.51632047477746
ov025_dist48000	d_novamexicana	337	3	99.10979228486647
ov025_dist48000	d_repleta	337	4	98.81305637982196
ov025_dist48000	d_serrata	337	4	98.81305637982196
ov025_dist48000	d_simulans	337	4	98.81305637982196
ov025_dist48000	dazt	337	10	97.03264094955489
ov025_dist48000	dbif	337	4	98.81305637982196
ov025_dist48000	dbir	337	4	98.81305637982196
ov025_dist48000	dbun	337	11	96.73590504451039
ov025_dist48000	dequ	337	4	98.81305637982196
ov025_dist48000	dfor	337	8	97.62611275964392
ov025_dist48000	dfun	337	3	99.10979228486647
ov025_dist48000	dimm	337	5	98.51632047477746
ov025_dist48000	dkik	337	6	98.21958456973294
ov025_dist48000	dmir	337	5	98.51632047477746
ov025_dist48000	dnas	337	2	99.40652818991099
ov025_dist48000	dobs	337	9	97.3293768545994
ov025_dist48000	dper	337	3	99.10979228486647
ov025_dist48000	dpha	337	2	99.40652818991099
ov025_dist48000	dpse	337	5	98.51632047477746
ov025_dist48000	druf	337	10	97.03264094955489
ov025_dist48000	dsub	337	6	98.21958456973294
ov025_dist48000	dsul	337	5	98.51632047477746
ov025_dist48000	dsuz	337	8	97.62611275964392
ov025_dist48000	dtei	337	6	98.21958456973294
ov025_dist48000	dtro	337	7	97.92284866468842
ov025_dist48000	dvir	337	3	99.10979228486647
ov025_dist48000	zdav	337	8	97.62611275964392
ov025_dist48000	zind	337	7	97.92284866468842
ov025_dist48000	ztub	337	6	98.21958456973294
ov050_dist12000	d_affinis	337	1	99.70326409495549
ov050_dist12000	d_arizonae	337	2	99.40652818991099
ov050_dist12000	d_bipectinata	337	2	99.40652818991099
ov050_dist12000	d_buzzatii	337	0	100.0
ov050_dist12000	d_ezoana	337	2	99.40652818991099
ov050_dist12000	d_hydei	337	1	99.70326409495549
ov050_dist12000	d_littoralis	337	3	99.10979228486647
ov050_dist12000	d_lutescens	337	2	99.40652818991099
ov050_dist12000	d_mercatorum	337	2	99.40652818991099
ov050_dist12000	d_mojavensis	337	3	99.10979228486647
ov050_dist12000	d_novamexicana	337	4	98.81305637982196
ov050_dist12000	d_repleta	337	2	99.40652818991099
ov050_dist12000	d_serrata	337	3	99.10979228486647
ov050_dist12000	d_simulans	337	0	100.0
ov050_dist12000	dazt	337	1	99.70326409495549
ov050_dist12000	dbif	337	2	99.40652818991099
ov050_dist12000	dbir	337	2	99.40652818991099
ov050_dist12000	dbun	337	3	99.10979228486647
ov050_dist12000	dequ	337	0	100.0
ov050_dist12000	dfor	337	3	99.10979228486647
ov050_dist12000	dfun	337	3	99.10979228486647
ov050_dist12000	dimm	337	0	100.0
ov050_dist12000	dkik	337	2	99.40652818991099
ov050_dist12000	dmir	337	1	99.70326409495549
ov050_dist12000	dnas	337	1	99.70326409495549
ov050_dist12000	dobs	337	4	98.81305637982196
ov050_dist12000	dper	337	4	98.81305637982196
ov050_dist12000	dpha	337	1	99.70326409495549
ov050_dist12000	dpse	337	3	99.10979228486647
ov050_dist12000	druf	337	4	98.81305637982196
ov050_dist12000	dsub	337	7	97.92284866468842
ov050_dist12000	dsul	337	0	100.0
ov050_dist12000	dsuz	337	2	99.40652818991099
ov050_dist12000	dtei	337	3	99.10979228486647
ov050_dist12000	dtro	337	1	99.70326409495549
ov050_dist12000	dvir	337	1	99.70326409495549
ov050_dist12000	zdav	337	3	99.10979228486647
ov050_dist12000	zind	337	2	99.40652818991099
ov050_dist12000	ztub	337	2	99.40652818991099
ov050_dist24000	d_affinis	337	0	100.0
ov050_dist24000	d_arizonae	337	0	100.0
ov050_dist24000	d_bipectinata	337	0	100.0
ov050_dist24000	d_buzzatii	337	0	100.0
ov050_dist24000	d_ezoana	337	0	100.0
ov050_dist24000	d_hydei	337	0	100.0
ov050_dist24000	d_littoralis	337	0	100.0
ov050_dist24000	d_lutescens	337	0	100.0
ov050_dist24000	d_mercatorum	337	0	100.0
ov050_dist24000	d_mojavensis	337	0	100.0
ov050_dist24000	d_novamexicana	337	0	100.0
ov050_dist24000	d_repleta	337	0	100.0
ov050_dist24000	d_serrata	337	0	100.0
ov050_dist24000	d_simulans	337	0	100.0
