scenario	primary_class	class	n
ov025_dist12000	no_detected_CRE	present	33
ov025_dist12000	turnover_candidate	no_detected_CRE	80
ov025_dist12000	turnover_candidate	present	104
ov025_dist24000	no_detected_CRE	present	33
ov025_dist24000	turnover_candidate	present	104
ov025_dist48000	no_detected_CRE	present	33
ov025_dist48000	no_detected_CRE	turnover_candidate	83
ov025_dist48000	turnover_candidate	present	104
ov050_dist12000	turnover_candidate	no_detected_CRE	82
ov050_dist48000	no_detected_CRE	turnover_candidate	85
ov075_dist12000	present	no_detected_CRE	125
ov075_dist12000	present	turnover_candidate	428
ov075_dist12000	turnover_candidate	no_detected_CRE	82
ov075_dist24000	present	no_detected_CRE	118
ov075_dist24000	present	turnover_candidate	435
ov075_dist48000	no_detected_CRE	turnover_candidate	85
ov075_dist48000	present	no_detected_CRE	116
ov075_dist48000	present	turnover_candidate	437
