group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dazt	d_affinis	dmir	dper
azteca_affinis_miranda_group	DMEL_CRE_00001	tier3	dazt	ARID	present	d_affinis|dmir|dper	TEMP	uncertain	present	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00002	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00003	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	no_detected_CRE	turnover_candidate	present
azteca_affinis_miranda_group	DMEL_CRE_00004	all_same	dazt	ARID	present	d_affinis|dmir|dper	TEMP	present	present	present	present	present
azteca_affinis_miranda_group	DMEL_CRE_00005	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00006	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00007	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00008	tier3	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	turnover_candidate	uncertain	turnover_candidate	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00009	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00010	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00011	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00012	comparison_mixed	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	mixed	uncertain	uncertain	no_detected_CRE	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00013	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00014	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	no_detected_CRE	no_detected_CRE	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00015	tier3	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	uncertain	turnover_candidate	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00016	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	uncertain	no_detected_CRE	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00017	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	turnover_candidate	turnover_candidate	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00018	comparison_mixed	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	mixed	uncertain	uncertain	turnover_candidate	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00019	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00020	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	turnover_candidate	turnover_candidate	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00021	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	turnover_candidate	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00022	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	present	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00023	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	present	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00024	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00025	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00026	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	no_detected_CRE	no_detected_CRE	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00027	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	turnover_candidate	turnover_candidate	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00028	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00029	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00030	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate
