dmel_cre_id	druf	dkik	dbun	dbir	d_serrata	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00001	uncertain	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00002	uncertain	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00006	no_detected_CRE	present	present	no_detected_CRE	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00007	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00009	present	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00010	present	no_detected_CRE	present	turnover_candidate	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00011	no_detected_CRE	turnover_candidate	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00012	no_detected_CRE	uncertain	turnover_candidate	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00013	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00016	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00017	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00018	present	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00019	turnover_candidate	uncertain	turnover_candidate	present	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00020	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00021	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00023	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00024	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00025	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00028	uncertain	uncertain	no_detected_CRE	no_detected_CRE	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00029	present	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00030	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00031	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
