dmel_cre_id	candidate_priority	downstream_priority	n_total_tier1_clades	n_focal_tier1_clades	n_secondary_only_clades	tier1_clades	fbgn_target_genes	n_reference_target_genes	primary_candidate_fbgn	primary_candidate_distance_bp	primary_candidate_relation	primary_candidate_source	primary_in_reference_targets	secondary_candidate_fbgn	secondary_candidate_distance_bp	secondary_candidate_relation	secondary_candidate_source	secondary_in_reference_targets	primary_secondary_distance_tie	dmel_fbgn_flanking_gene	distance_flanking_gene	dmel_fbgn_next_flanking_gene	distance_next_gene	gene_distance_qc	gene_assignment_qc
DMEL_CRE_00052	focal_plus_secondary_recurrent	high	3	1	2	immigrans_group|obscura_group|rufa_group	FBgn0004198|FBgn0029952	2	FBgn0004198	0.0	overlapping	flanking_gene	yes	FBgn0029952	41099.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0004198	0	FBgn0029952	41099	PASS	PASS
DMEL_CRE_00065	focal_plus_secondary_recurrent	high	2	1	1	obscura_group|rufa_group	FBgn0261260|FBgn0266050	2	FBgn0261260	0.0	overlapping	flanking_gene	yes	FBgn0266050	21868.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0261260	0	FBgn0266050	21868	PASS	PASS
DMEL_CRE_00080	focal_plus_secondary_recurrent	high	2	1	1	azteca_affinis_miranda_group|immigrans_group	FBgn0267001|FBgn0030384	2	FBgn0267001	12986.0	nearest_nonoverlapping	flanking_gene	yes	FBgn0030384	25288.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0267001	12986	FBgn0030384	25288	PASS	PASS
DMEL_CRE_00151	focal_plus_secondary_recurrent	high	3	1	2	obscura_group|rufa_group|teissieri_group	FBgn0262127|FBgn0038256	2	FBgn0262127	0.0	overlapping	flanking_gene	yes	FBgn0038256	11040.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0262127	0	FBgn0038256	11040	PASS	PASS
DMEL_CRE_00152	focal_plus_secondary_recurrent	high	2	1	1	obscura_group|teissieri_group	FBgn0262127|FBgn0038256	2	FBgn0262127	0.0	overlapping	flanking_gene	yes	FBgn0038256	8950.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0262127	0	FBgn0038256	8950	PASS	PASS
DMEL_CRE_00309	focal_recurrent	high	2	2	0	azteca_affinis_miranda_group|obscura_group	FBgn0016694|FBgn0052365	2	FBgn0016694	0.0	overlapping	flanking_gene	yes	FBgn0052365	13852.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0016694	0	FBgn0052365	13852	PASS	PASS
DMEL_CRE_00310	focal_plus_secondary_recurrent	high	2	1	1	azteca_affinis_miranda_group|repleta_group	FBgn0003149|FBgn0040828	2	FBgn0003149	0.0	overlapping	flanking_gene	yes	FBgn0040828	4769.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0003149	0	FBgn0040828	4769	PASS	PASS
DMEL_CRE_00330	focal_plus_secondary_recurrent	high	3	1	2	azteca_affinis_miranda_group|rufa_group|teissieri_group	FBgn0000567|FBgn0086080	2	FBgn0000567	0.0	overlapping	flanking_gene	yes	FBgn0086080	24478.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0000567	0	FBgn0086080	24478	PASS	PASS
DMEL_CRE_00331	focal_plus_secondary_recurrent	high	4	1	3	azteca_affinis_miranda_group|repleta_group|rufa_group|teissieri_group	FBgn0000567|FBgn0036740	2	FBgn0000567	0.0	overlapping	flanking_gene	yes	FBgn0036740	13523.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0000567	0	FBgn0036740	13523	PASS	PASS
DMEL_CRE_00017	focal_single	medium	1	1	0	teissieri_group	FBgn0015286|FBgn0283657	2	FBgn0015286	0.0	overlapping	flanking_gene	yes	FBgn0283657	1397.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0015286	0	FBgn0283657	1397	PASS	PASS
DMEL_CRE_00030	focal_single	medium	1	1	0	teissieri_group	FBgn0266098|FBgn0266097	2	FBgn0266098	0.0	overlapping	flanking_gene	yes	FBgn0266097	36293.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0266098	0	FBgn0266097	36293	PASS	PASS
DMEL_CRE_00077	focal_single	medium	1	1	0	immigrans_group	FBgn0267001|FBgn0030377	2	FBgn0267001	0.0	overlapping	flanking_gene	yes	FBgn0030377	3060.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0267001	0	FBgn0030377	3060	PASS	PASS
DMEL_CRE_00078	secondary_recurrent	medium	2	0	2	azteca_affinis_miranda_group|teissieri_group	FBgn0267001|FBgn0267163	2	FBgn0267001	0.0	overlapping	flanking_gene	yes	FBgn0267163	4005.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0267001	0	FBgn0267163	4005	PASS	PASS
DMEL_CRE_00093	focal_single	medium	1	1	0	obscura_group	FBgn0004169|FBgn0265865	2	FBgn0004169	0.0	overlapping	flanking_gene	yes	FBgn0265865	3059.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0004169	0	FBgn0265865	3059	PASS	PASS
DMEL_CRE_00106	focal_single	medium	1	1	0	teissieri_group	FBgn0003463|FBgn0265596	2	FBgn0003463	0.0	overlapping	flanking_gene	yes	FBgn0265596	18038.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0003463	0	FBgn0265596	18038	PASS	PASS
DMEL_CRE_00121	focal_single	medium	1	1	0	obscura_group	FBgn0003380|FBgn0030886	2	FBgn0003380	0.0	overlapping	flanking_gene	yes	FBgn0030886	6954.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0003380	0	FBgn0030886	6954	PASS	PASS
DMEL_CRE_00122	focal_single	medium	1	1	0	obscura_group	FBgn0283471|FBgn0267165	2	FBgn0283471	0.0	overlapping	flanking_gene	yes	FBgn0267165	4886.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0283471	0	FBgn0267165	4886	PASS	PASS
DMEL_CRE_00154	focal_single	medium	1	1	0	rufa_group	FBgn0262483|FBgn0038331	2	FBgn0262483	0.0	overlapping	flanking_gene	yes	FBgn0038331	1473.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0262483	0	FBgn0038331	1473	PASS	PASS
DMEL_CRE_00275	secondary_recurrent	medium	2	0	2	azteca_affinis_miranda_group|repleta_group	FBgn0032602|FBgn0032601	2	FBgn0032602	1546.0	nearest_nonoverlapping	flanking_gene	yes	FBgn0032601	3817.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0032602	1546	FBgn0032601	3817	PASS	PASS
DMEL_CRE_00276	focal_single	medium	1	1	0	obscura_group	FBgn0264695|FBgn0032602	2	FBgn0264695	3006.0	nearest_nonoverlapping	flanking_gene	yes	FBgn0032602	3336.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0264695	3006	FBgn0032602	3336	PASS	PASS
DMEL_CRE_00306	focal_single	medium	1	1	0	repleta_group	FBgn0035719|FBgn0266961	2	FBgn0035719	0.0	overlapping	flanking_gene	yes	FBgn0266961	3658.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0035719	0	FBgn0266961	3658	PASS	PASS
DMEL_CRE_00003	secondary_single	exploratory	1	0	1	obscura_group	FBgn0003575|FBgn0020381	2	FBgn0003575	10.0	nearest_nonoverlapping	flanking_gene	yes	FBgn0020381	665.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0003575	10	FBgn0020381	665	PASS	PASS
DMEL_CRE_00004	secondary_single	exploratory	1	0	1	rufa_group	FBgn0025390	1	FBgn0025390	0.0	overlapping	flanking_gene	yes	NA		unknown	NA	no	no	FBgn0025390	0	FBgn0025390	0	PASS	PASS
DMEL_CRE_00019	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0283657|FBgn0263532	2	FBgn0283657	0.0	overlapping	flanking_gene	yes	FBgn0263532	27602.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0283657	0	FBgn0263532	27602	PASS	PASS
DMEL_CRE_00021	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0283657|FBgn0263532	2	FBgn0283657	0.0	overlapping	flanking_gene	yes	FBgn0263532	9162.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0283657	0	FBgn0263532	9162	PASS	PASS
DMEL_CRE_00029	secondary_single	exploratory	1	0	1	teissieri_group	FBgn0266098|FBgn0029747	2	FBgn0266098	0.0	overlapping	flanking_gene	yes	FBgn0029747	14562.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0266098	0	FBgn0029747	14562	PASS	PASS
DMEL_CRE_00038	secondary_single	exploratory	1	0	1	obscura_group	FBgn0264386	1	FBgn0264386	0.0	overlapping	flanking_gene	yes	NA		unknown	NA	no	no	FBgn0264386	0	NA		PASS	PASS
DMEL_CRE_00042	secondary_single	exploratory	1	0	1	obscura_group	FBgn0029895|FBgn0029894	2	FBgn0029895	0.0	overlapping	flanking_gene	yes	FBgn0029894	10323.0	nearest_nonoverlapping	next_flanking_gene	yes	no	FBgn0029895	0	FBgn0029894	10323	PASS	PASS
