slug	species	source	total_mRNA	with_dmel_attr	with_dmel_ortholog	without_dmel_ortholog	fraction_with_dmel_ortholog	status
dazt	Drosophila azteca	generated	29138	16617	12928	16210	0.4437	PASS
dbif	Drosophila bifasciata	generated	21924	12642	11164	10760	0.5092	PASS
dbir	Drosophila birchii	generated	22424	14167	12938	9486	0.5770	PASS
dbun	Drosophila bunnanda	generated	22060	13886	12842	9218	0.5821	PASS
dequ	Drosophila equinoxialis	generated	22272	14680	12452	9820	0.5591	PASS
dfor	Drosophila formosana	generated	22644	13831	11991	10653	0.5295	PASS
dfun	Drosophila funebris	generated	19076	13220	11640	7436	0.6102	PASS
dimm	Drosophila immigrans	generated	23442	13874	12048	11394	0.5139	PASS
dkik	Drosophila kikkawai	generated	23623	14636	13256	10367	0.5611	PASS
dmir	Drosophila miranda	generated	34135	18608	15340	18795	0.4494	PASS
dnas	Drosophila nasuta	generated	26533	14353	12169	14364	0.4586	PASS
dobs	Drosophila obscura	generated	24643	14715	12702	11941	0.5154	PASS
dper	Drosophila persimilis	generated	21634	14747	12815	8819	0.5924	PASS
dpha	Drosophila phalerata	generated	21773	14674	12074	9699	0.5545	PASS
dpse	Drosophila pseudoananassae	generated	21937	14271	12853	9084	0.5859	PASS
druf	Drosophila rufa	generated	22051	15085	13223	8828	0.5997	PASS
dsub	Drosophila subobscura	generated	23628	13641	12317	11311	0.5213	PASS
dsul	Drosophila sulfurigaster	generated	24864	13708	11767	13097	0.4733	PASS
dsuz	Drosophila suzukii	generated	26570	15083	13653	12917	0.5139	PASS
dtei	Drosophila teissieri	generated	23935	14325	13498	10437	0.5639	PASS
dtro	Drosophila tropicalis	generated	21877	14591	12475	9402	0.5702	PASS
dvir	Drosophila virilis	generated	24655	13890	12101	12554	0.4908	PASS
zdav	Zaprionus davidi	generated	21377	13844	11769	9608	0.5505	PASS
zind	Zaprionus indianus	generated	20907	13675	11614	9293	0.5555	PASS
ztub	Zaprionus tuberculatus	generated	22801	14439	12197	10604	0.5349	PASS
d_affinis	Drosophila affinis	external	26854	14799	12871	13983	0.4793	PASS
d_arizonae	Drosophila arizonae	external	20788	12325	10891	9897	0.5239	PASS
d_bipectinata	Drosophila bipectinata	external	22170	14695	13088	9082	0.5903	PASS
d_buzzatii	Drosophila buzzatii	external	24877	13729	11931	12946	0.4796	PASS
d_ezoana	Drosophila ezoana	external	24120	13915	12053	12067	0.4997	PASS
d_hydei	Drosophila hydei	external	22788	13608	11945	10843	0.5242	PASS
d_littoralis	Drosophila littoralis	external	24524	14159	12116	12408	0.4940	PASS
d_lutescens	Drosophila lutescens	external	21842	15482	13525	8317	0.6192	PASS
d_melanogaster	Drosophila melanogaster	external	31172	0	0	31172	0.0000	PASS_REFERENCE_SPECIES
d_mercatorum	Drosophila mercatorum	external	22002	13496	11824	10178	0.5374	PASS
d_mojavensis	Drosophila mojavensis	external	24562	13512	11723	12839	0.4773	PASS
d_novamexicana	Drosophila novamexicana	external	21514	13554	11810	9704	0.5489	PASS
d_repleta	Drosophila repleta	external	21874	13609	11893	9981	0.5437	PASS
d_serrata	Drosophila serrata	external	22705	14063	12876	9829	0.5671	PASS
d_simulans	Drosophila simulans	external	27072	14010	13402	13670	0.4950	PASS
