dmel_cre_id	fbgn	gene_role	assignment_evidence	is_reference_target	is_primary_candidate	is_secondary_candidate	candidate_gene_distance_bp	candidate_gene_relation	candidate_priority	downstream_priority	n_total_tier1_clades	n_focal_tier1_clades	n_secondary_only_clades	tier1_clades	fbgn_target_genes	primary_candidate_fbgn	secondary_candidate_fbgn	gene_assignment_qc
DMEL_CRE_00052	FBgn0004198	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_plus_secondary_recurrent	high	3	1	2	immigrans_group|obscura_group|rufa_group	FBgn0004198|FBgn0029952	FBgn0004198	FBgn0029952	PASS
DMEL_CRE_00052	FBgn0029952	secondary_candidate	secondary_and_reference_target	yes	no	yes	41099.0	nearest_nonoverlapping	focal_plus_secondary_recurrent	high	3	1	2	immigrans_group|obscura_group|rufa_group	FBgn0004198|FBgn0029952	FBgn0004198	FBgn0029952	PASS
DMEL_CRE_00065	FBgn0261260	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_plus_secondary_recurrent	high	2	1	1	obscura_group|rufa_group	FBgn0261260|FBgn0266050	FBgn0261260	FBgn0266050	PASS
DMEL_CRE_00065	FBgn0266050	secondary_candidate	secondary_and_reference_target	yes	no	yes	21868.0	nearest_nonoverlapping	focal_plus_secondary_recurrent	high	2	1	1	obscura_group|rufa_group	FBgn0261260|FBgn0266050	FBgn0261260	FBgn0266050	PASS
DMEL_CRE_00080	FBgn0267001	primary_candidate	primary_and_reference_target	yes	yes	no	12986.0	nearest_nonoverlapping	focal_plus_secondary_recurrent	high	2	1	1	azteca_affinis_miranda_group|immigrans_group	FBgn0267001|FBgn0030384	FBgn0267001	FBgn0030384	PASS
DMEL_CRE_00080	FBgn0030384	secondary_candidate	secondary_and_reference_target	yes	no	yes	25288.0	nearest_nonoverlapping	focal_plus_secondary_recurrent	high	2	1	1	azteca_affinis_miranda_group|immigrans_group	FBgn0267001|FBgn0030384	FBgn0267001	FBgn0030384	PASS
DMEL_CRE_00151	FBgn0262127	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_plus_secondary_recurrent	high	3	1	2	obscura_group|rufa_group|teissieri_group	FBgn0262127|FBgn0038256	FBgn0262127	FBgn0038256	PASS
DMEL_CRE_00151	FBgn0038256	secondary_candidate	secondary_and_reference_target	yes	no	yes	11040.0	nearest_nonoverlapping	focal_plus_secondary_recurrent	high	3	1	2	obscura_group|rufa_group|teissieri_group	FBgn0262127|FBgn0038256	FBgn0262127	FBgn0038256	PASS
DMEL_CRE_00152	FBgn0262127	primary_candidate	primary_and_reference_target	yes	yes	no	0.0	overlapping	focal_plus_secondary_recurrent	high	2	1	1	obscura_group|teissieri_group	FBgn0262127|FBgn0038256	FBgn0262127	FBgn0038256	PASS
DMEL_CRE_00152	FBgn0038256	secondary_candidate	secondary_and_reference_target	yes	no	yes	8950.0	nearest_nonoverlapping	focal_plus_secondary_recurrent	high	2	1	1	obscura_group|teissieri_group	FBgn0262127|FBgn0038256	FBgn0262127	FBgn0038256	PASS
