dmel_cre_id	chrom	start0	end0	peak_amplitude	scrmshaw_score	fbgn_target_genes	n_fbgn_target_genes	training_set	method	rank
DMEL_CRE_00001	NC_004353.4	59140	59960	389.7	15.9249	FBgn0264617|FBgn0004859	2	adult_muscle	imm	47
DMEL_CRE_00002	NC_004353.4	468630	469590	700.3	20.1697	FBgn0262731|FBgn0039908	2	adult_muscle	imm	12
DMEL_CRE_00003	NC_004354.4	635880	636710	74.5	11.6277	FBgn0003575|FBgn0020381	2	adult_muscle	imm	280
DMEL_CRE_00004	NC_004354.4	1640140	1640770	135.3	14.236	FBgn0025390	1	adult_muscle	imm	186
DMEL_CRE_00005	NC_004354.4	1705500	1706160	88.4	10.5339	FBgn0025378|FBgn0023130	2	adult_muscle	imm	255
DMEL_CRE_00006	NC_004354.4	1947110	1947800	260.4	15.7144	FBgn0264562|FBgn0023521	2	adult_muscle	imm	93
DMEL_CRE_00007	NC_004354.4	1973430	1974040	146.9	14.0332	FBgn0264562|FBgn0023521	2	adult_muscle	imm	175
DMEL_CRE_00008	NC_004354.4	1995330	1995940	150.9	15.7545	FBgn0264562|FBgn0023545	2	adult_muscle	imm	171
DMEL_CRE_00009	NC_004354.4	2035840	2036780	538.1	18.8319	FBgn0000667|FBgn0003964	2	adult_muscle	imm	23
DMEL_CRE_00010	NC_004354.4	2061370	2061950	104.1	13.0714	FBgn0025625|FBgn0025626	2	adult_muscle	imm	226
DMEL_CRE_00011	NC_004354.4	2289230	2290010	127.0	10.6539	FBgn0023526|FBgn0003079	2	adult_muscle	imm	193
DMEL_CRE_00012	NC_004354.4	2301840	2302800	200.2	17.2595	FBgn0003079|FBgn0023526	2	adult_muscle	imm	130
DMEL_CRE_00013	NC_004354.4	2507370	2508000	152.8	15.6911	FBgn0284408|FBgn0040388	2	adult_muscle	imm	168
DMEL_CRE_00014	NC_004354.4	2789070	2789640	96.0	13.6758	FBgn0028369	1	adult_muscle	imm	239
DMEL_CRE_00015	NC_004354.4	3146380	3146990	107.8	12.075	FBgn0004647|FBgn0028746	2	adult_muscle	imm	223
DMEL_CRE_00016	NC_004354.4	3431370	3432050	71.9	11.1794	FBgn0266350	1	adult_muscle	imm	288
DMEL_CRE_00017	NC_004354.4	3718610	3719160	62.9	11.0178	FBgn0015286|FBgn0283657	2	adult_muscle	imm	305
DMEL_CRE_00018	NC_004354.4	3746660	3747470	433.3	17.8907	FBgn0283657|FBgn0015286	2	adult_muscle	imm	43
DMEL_CRE_00019	NC_004354.4	3749780	3750550	80.2	11.2697	FBgn0283657|FBgn0263532	2	adult_muscle	imm	268
DMEL_CRE_00020	NC_004354.4	3762200	3762780	110.9	15.3228	FBgn0283657|FBgn0263532	2	adult_muscle	imm	219
DMEL_CRE_00021	NC_004354.4	3768220	3768810	54.7	12.5103	FBgn0283657|FBgn0263532	2	adult_muscle	imm	337
DMEL_CRE_00022	NC_004354.4	4421820	4422650	631.0	25.0591	FBgn0052773	1	adult_muscle	imm	17
DMEL_CRE_00023	NC_004354.4	4426660	4427470	393.2	17.5887	FBgn0052773	1	adult_muscle	imm	45
DMEL_CRE_00024	NC_004354.4	4505630	4506230	125.4	13.9058	FBgn0052773|FBgn0000179	2	adult_muscle	imm	196
DMEL_CRE_00025	NC_004354.4	4583060	4583660	85.7	12.2253	FBgn0052773|FBgn0029717	2	adult_muscle	imm	259
