dmel_cre_id	n_present	n_turnover_candidate	n_no_detected_CRE	n_uncertain	n_evaluable	positional_conservation_rate_evaluable	turnover_candidate_rate_evaluable
DMEL_CRE_00001	2	2	6	29	10	0.2	0.2
DMEL_CRE_00002	0	0	1	38	1	0.0	0.0
DMEL_CRE_00003	6	5	11	17	22	0.2727272727272727	0.22727272727272727
DMEL_CRE_00004	10	5	3	21	18	0.5555555555555556	0.2777777777777778
DMEL_CRE_00005	0	5	19	15	24	0.0	0.20833333333333334
DMEL_CRE_00006	7	6	20	6	33	0.21212121212121213	0.18181818181818182
DMEL_CRE_00007	4	10	23	2	37	0.10810810810810811	0.2702702702702703
DMEL_CRE_00008	3	7	4	25	14	0.21428571428571427	0.5
DMEL_CRE_00009	18	10	5	6	33	0.5454545454545454	0.30303030303030304
DMEL_CRE_00010	4	1	5	29	10	0.4	0.1
DMEL_CRE_00011	7	4	3	25	14	0.5	0.2857142857142857
DMEL_CRE_00012	1	3	4	31	8	0.125	0.375
DMEL_CRE_00013	1	3	16	19	20	0.05	0.15
DMEL_CRE_00014	2	4	13	20	19	0.10526315789473684	0.21052631578947367
DMEL_CRE_00015	1	2	12	24	15	0.06666666666666667	0.13333333333333333
DMEL_CRE_00016	0	0	15	24	15	0.0	0.0
DMEL_CRE_00017	2	15	1	21	18	0.1111111111111111	0.8333333333333334
DMEL_CRE_00018	15	4	0	20	19	0.7894736842105263	0.21052631578947367
DMEL_CRE_00019	2	6	0	31	8	0.25	0.75
DMEL_CRE_00020	3	13	2	21	18	0.16666666666666666	0.7222222222222222
DMEL_CRE_00021	1	13	1	24	15	0.06666666666666667	0.8666666666666667
DMEL_CRE_00022	16	0	23	0	39	0.41025641025641024	0.0
DMEL_CRE_00023	5	0	28	6	33	0.15151515151515152	0.0
DMEL_CRE_00024	1	0	24	14	25	0.04	0.0
DMEL_CRE_00025	0	0	19	20	19	0.0	0.0
DMEL_CRE_00026	5	10	20	4	35	0.14285714285714285	0.2857142857142857
DMEL_CRE_00027	0	23	14	2	37	0.0	0.6216216216216216
DMEL_CRE_00028	3	0	4	32	7	0.42857142857142855	0.0
DMEL_CRE_00029	10	12	7	10	29	0.3448275862068966	0.41379310344827586
DMEL_CRE_00030	5	24	10	0	39	0.1282051282051282	0.6153846153846154
DMEL_CRE_00031	3	19	5	12	27	0.1111111111111111	0.7037037037037037
DMEL_CRE_00032	0	11	2	26	13	0.0	0.8461538461538461
DMEL_CRE_00033	3	0	20	16	23	0.13043478260869565	0.0
DMEL_CRE_00034	6	1	11	21	18	0.3333333333333333	0.05555555555555555
DMEL_CRE_00035	3	0	5	31	8	0.375	0.0
DMEL_CRE_00036	0	1	8	30	9	0.0	0.1111111111111111
DMEL_CRE_00037	0	0	11	28	11	0.0	0.0
DMEL_CRE_00038	3	11	5	20	19	0.15789473684210525	0.5789473684210527
DMEL_CRE_00039	0	0	38	1	38	0.0	0.0
DMEL_CRE_00040	5	0	28	6	33	0.15151515151515152	0.0
DMEL_CRE_00041	1	0	38	0	39	0.02564102564102564	0.0
DMEL_CRE_00042	11	21	5	2	37	0.2972972972972973	0.5675675675675675
DMEL_CRE_00043	0	8	12	19	20	0.0	0.4
DMEL_CRE_00044	7	8	5	19	20	0.35	0.4
DMEL_CRE_00045	0	3	5	31	8	0.0	0.375
DMEL_CRE_00046	2	4	9	24	15	0.13333333333333333	0.26666666666666666
DMEL_CRE_00047	2	0	22	15	24	0.08333333333333333	0.0
DMEL_CRE_00048	2	0	17	20	19	0.10526315789473684	0.0
DMEL_CRE_00049	12	0	8	19	20	0.6	0.0
DMEL_CRE_00050	6	9	24	0	39	0.15384615384615385	0.23076923076923078
DMEL_CRE_00051	0	9	28	2	37	0.0	0.24324324324324326
DMEL_CRE_00052	23	13	1	2	37	0.6216216216216216	0.35135135135135137
DMEL_CRE_00053	9	28	1	1	38	0.23684210526315788	0.7368421052631579
DMEL_CRE_00054	2	33	2	2	37	0.05405405405405406	0.8918918918918919
DMEL_CRE_00055	1	16	2	20	19	0.05263157894736842	0.8421052631578947
DMEL_CRE_00056	3	9	4	23	16	0.1875	0.5625
DMEL_CRE_00057	2	14	7	16	23	0.08695652173913043	0.6086956521739131
DMEL_CRE_00058	1	13	5	20	19	0.05263157894736842	0.6842105263157895
DMEL_CRE_00059	1	2	4	32	7	0.14285714285714285	0.2857142857142857
DMEL_CRE_00060	0	2	8	29	10	0.0	0.2
DMEL_CRE_00061	2	7	28	2	37	0.05405405405405406	0.1891891891891892
DMEL_CRE_00062	0	0	30	9	30	0.0	0.0
DMEL_CRE_00063	1	0	32	6	33	0.030303030303030304	0.0
DMEL_CRE_00064	1	15	0	23	16	0.0625	0.9375
DMEL_CRE_00065	4	10	0	25	14	0.2857142857142857	0.7142857142857143
DMEL_CRE_00066	0	0	20	19	20	0.0	0.0
DMEL_CRE_00067	0	5	30	4	35	0.0	0.14285714285714285
DMEL_CRE_00068	0	13	8	18	21	0.0	0.6190476190476191
DMEL_CRE_00069	0	20	18	1	38	0.0	0.5263157894736842
DMEL_CRE_00070	1	3	13	22	17	0.058823529411764705	0.17647058823529413
DMEL_CRE_00071	0	1	38	0	39	0.0	0.02564102564102564
DMEL_CRE_00072	8	5	6	20	19	0.42105263157894735	0.2631578947368421
DMEL_CRE_00073	3	4	27	5	34	0.08823529411764706	0.11764705882352941
DMEL_CRE_00074	9	0	9	21	18	0.5	0.0
DMEL_CRE_00075	1	0	18	20	19	0.05263157894736842	0.0
DMEL_CRE_00076	0	0	2	37	2	0.0	0.0
DMEL_CRE_00077	3	18	4	14	25	0.12	0.72
DMEL_CRE_00078	4	26	3	6	33	0.12121212121212122	0.7878787878787878
DMEL_CRE_00079	0	17	4	18	21	0.0	0.8095238095238095
DMEL_CRE_00080	8	27	4	0	39	0.20512820512820512	0.6923076923076923
DMEL_CRE_00081	1	4	9	25	14	0.07142857142857142	0.2857142857142857
DMEL_CRE_00082	11	9	0	19	20	0.55	0.45
DMEL_CRE_00083	1	3	0	35	4	0.25	0.75
DMEL_CRE_00084	3	8	0	28	11	0.2727272727272727	0.7272727272727273
DMEL_CRE_00085	4	2	24	9	30	0.13333333333333333	0.06666666666666667
DMEL_CRE_00086	2	0	14	23	16	0.125	0.0
DMEL_CRE_00087	6	0	15	18	21	0.2857142857142857	0.0
DMEL_CRE_00088	1	0	8	30	9	0.1111111111111111	0.0
DMEL_CRE_00089	0	2	7	30	9	0.0	0.2222222222222222
DMEL_CRE_00090	5	0	16	18	21	0.23809523809523808	0.0
DMEL_CRE_00091	2	0	14	23	16	0.125	0.0
DMEL_CRE_00092	0	0	7	32	7	0.0	0.0
DMEL_CRE_00093	6	21	6	6	33	0.18181818181818182	0.6363636363636364
DMEL_CRE_00094	23	12	2	2	37	0.6216216216216216	0.32432432432432434
DMEL_CRE_00095	2	0	19	18	21	0.09523809523809523	0.0
DMEL_CRE_00096	0	4	8	27	12	0.0	0.3333333333333333
DMEL_CRE_00097	0	3	9	27	12	0.0	0.25
DMEL_CRE_00098	0	4	35	0	39	0.0	0.10256410256410256
DMEL_CRE_00099	0	0	5	34	5	0.0	0.0
DMEL_CRE_00100	1	6	12	20	19	0.05263157894736842	0.3157894736842105
DMEL_CRE_00101	0	0	5	34	5	0.0	0.0
DMEL_CRE_00102	1	5	29	4	35	0.02857142857142857	0.14285714285714285
DMEL_CRE_00103	0	1	8	30	9	0.0	0.1111111111111111
DMEL_CRE_00104	0	12	10	17	22	0.0	0.5454545454545454
DMEL_CRE_00105	1	0	9	29	10	0.1	0.0
DMEL_CRE_00106	4	15	7	13	26	0.15384615384615385	0.5769230769230769
DMEL_CRE_00107	1	6	3	29	10	0.1	0.6
DMEL_CRE_00108	2	1	6	30	9	0.2222222222222222	0.1111111111111111
DMEL_CRE_00109	1	0	3	35	4	0.25	0.0
DMEL_CRE_00110	0	0	2	37	2	0.0	0.0
DMEL_CRE_00111	0	9	8	22	17	0.0	0.5294117647058824
DMEL_CRE_00112	0	4	3	32	7	0.0	0.5714285714285714
DMEL_CRE_00113	0	17	22	0	39	0.0	0.4358974358974359
DMEL_CRE_00114	7	0	22	10	29	0.2413793103448276	0.0
DMEL_CRE_00115	3	2	8	26	13	0.23076923076923078	0.15384615384615385
DMEL_CRE_00116	0	1	17	21	18	0.0	0.05555555555555555
DMEL_CRE_00117	1	4	18	16	23	0.043478260869565216	0.17391304347826086
DMEL_CRE_00118	0	10	8	21	18	0.0	0.5555555555555556
DMEL_CRE_00119	5	2	30	2	37	0.13513513513513514	0.05405405405405406
DMEL_CRE_00120	9	24	5	1	38	0.23684210526315788	0.631578947368421
DMEL_CRE_00121	11	15	1	12	27	0.4074074074074074	0.5555555555555556
DMEL_CRE_00122	24	5	3	7	32	0.75	0.15625
DMEL_CRE_00123	0	3	7	29	10	0.0	0.3
DMEL_CRE_00124	2	5	13	19	20	0.1	0.25
DMEL_CRE_00125	3	2	8	26	13	0.23076923076923078	0.15384615384615385
DMEL_CRE_00126	4	5	12	18	21	0.19047619047619047	0.23809523809523808
DMEL_CRE_00127	0	1	14	24	15	0.0	0.06666666666666667
DMEL_CRE_00128	3	0	1	35	4	0.75	0.0
DMEL_CRE_00129	1	0	10	28	11	0.09090909090909091	0.0
