dmel_cre_id	candidate_priority	downstream_priority	n_total_tier1_clades	n_focal_tier1_clades	n_secondary_only_clades	tier1_clades	fbgn_target_genes	cre_chrom	cre_start0	cre_end0	cre_length_bp	matched_dmel_prediction	n_overlapping_predictions	best_match_tied	exact_coordinate_match	prediction_species_key	prediction_species	prediction_chrom	prediction_start0	prediction_end0	prediction_length_bp	overlap_bp	overlap_fraction_cre	overlap_fraction_prediction	flanking_gene	dmel_ortholog_flanking_gene	dmel_fbgn_flanking_gene	distance_flanking_gene	next_flanking_gene	dmel_ortholog_next_flanking_gene	dmel_fbgn_next_flanking_gene	distance_next_gene	gene_distance_qc
DMEL_CRE_00309	focal_recurrent	high	2	2	0	azteca_affinis_miranda_group|obscura_group	FBgn0016694|FBgn0052365	NT_037436.4	7855190	7855780	590	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_037436.4	7855190	7855780	590	590	1.0	1.0	gene-Dmel_CG17888	gene-Dmel_CG17888	FBgn0016694	0	gene-Dmel_CG32365	gene-Dmel_CG32365	FBgn0052365	13852	PASS
DMEL_CRE_00331	focal_plus_secondary_recurrent	high	4	1	3	azteca_affinis_miranda_group|repleta_group|rufa_group|teissieri_group	FBgn0000567|FBgn0036740	NT_037436.4	17606600	17607300	700	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_037436.4	17606600	17607300	700	700	1.0	1.0	gene-Dmel_CG32180	gene-Dmel_CG32180	FBgn0000567	0	gene-Dmel_CG6259	gene-Dmel_CG6259	FBgn0036740	13523	PASS
DMEL_CRE_00052	focal_plus_secondary_recurrent	high	3	1	2	immigrans_group|obscura_group|rufa_group	FBgn0004198|FBgn0029952	NC_004354.4	7626840	7627730	890	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	7626840	7627730	890	890	1.0	1.0	gene-Dmel_CG11387	gene-Dmel_CG11387	FBgn0004198	0	gene-Dmel_CG12689	gene-Dmel_CG12689	FBgn0029952	41099	PASS
DMEL_CRE_00151	focal_plus_secondary_recurrent	high	3	1	2	obscura_group|rufa_group|teissieri_group	FBgn0262127|FBgn0038256	NT_033777.3	14713720	14714560	840	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_033777.3	14713720	14714560	840	840	1.0	1.0	gene-Dmel_CG33967	gene-Dmel_CG33967	FBgn0262127	0	gene-Dmel_CG7530	gene-Dmel_CG7530	FBgn0038256	11040	PASS
DMEL_CRE_00330	focal_plus_secondary_recurrent	high	3	1	2	azteca_affinis_miranda_group|rufa_group|teissieri_group	FBgn0000567|FBgn0086080	NT_037436.4	17590310	17591140	830	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_037436.4	17590310	17591140	830	830	1.0	1.0	gene-Dmel_CG32180	gene-Dmel_CG32180	FBgn0000567	0	gene-Dmel_CR34709	gene-Dmel_CR34709	FBgn0086080	24478	PASS
DMEL_CRE_00065	focal_plus_secondary_recurrent	high	2	1	1	obscura_group|rufa_group	FBgn0261260|FBgn0266050	NC_004354.4	9467700	9468580	880	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	9467700	9468580	880	880	1.0	1.0	gene-Dmel_CG42611	gene-Dmel_CG42611	FBgn0261260	0	gene-Dmel_CG44815	gene-Dmel_CG44815	FBgn0266050	21868	PASS
DMEL_CRE_00080	focal_plus_secondary_recurrent	high	2	1	1	azteca_affinis_miranda_group|immigrans_group	FBgn0267001|FBgn0030384	NC_004354.4	12347830	12348700	870	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	12347830	12348700	870	870	1.0	1.0	gene-Dmel_CG42338	gene-Dmel_CG42338	FBgn0267001	12986	gene-Dmel_CG2577	gene-Dmel_CG2577	FBgn0030384	25288	PASS
DMEL_CRE_00152	focal_plus_secondary_recurrent	high	2	1	1	obscura_group|teissieri_group	FBgn0262127|FBgn0038256	NT_033777.3	14715810	14716660	850	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_033777.3	14715810	14716660	850	850	1.0	1.0	gene-Dmel_CG33967	gene-Dmel_CG33967	FBgn0262127	0	gene-Dmel_CG7530	gene-Dmel_CG7530	FBgn0038256	8950	PASS
DMEL_CRE_00310	focal_plus_secondary_recurrent	high	2	1	1	azteca_affinis_miranda_group|repleta_group	FBgn0003149|FBgn0040828	NT_037436.4	8744370	8745020	650	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NT_037436.4	8744370	8745020	650	650	1.0	1.0	gene-Dmel_CG5939	gene-Dmel_CG5939	FBgn0003149	0	gene-Dmel_CG13306	gene-Dmel_CG13306	FBgn0040828	4769	PASS
DMEL_CRE_00078	secondary_recurrent	medium	2	0	2	azteca_affinis_miranda_group|teissieri_group	FBgn0267001|FBgn0267163	NC_004354.4	12270630	12271270	640	YES	1	no	yes	d_melanogaster	Drosophila melanogaster	NC_004354.4	12270630	12271270	640	640	1.0	1.0	gene-Dmel_CG42338	gene-Dmel_CG42338	FBgn0267001	0	gene-Dmel_CG45603	gene-Dmel_CG45603	FBgn0267163	4005	PASS
