dmel_cre_id	species	alignment_status	target_chrom	target_start0	target_end0	lifted_length	best_peak_id	best_overlap_bp	best_overlap_fraction_lifted	best_overlap_fraction_peak	positional_peak	same_fbgn_peak_anywhere	same_fbgn_peak_local	local_same_fbgn_peak_id	local_same_fbgn	best_local_same_fbgn_distance_bp	shared_fbgn_with_best_peak	dmel_target_fbgn	gene_support_at_best_peak	class
DMEL_CRE_00001	dazt	mapped	VCKU01000034.1	284721	285401	680	dazt_PEAK_00727	501	0.736765	0.726087	yes	yes	yes	dazt_PEAK_00727	FBgn0004859	3366.0	FBgn0004859	FBgn0004859|FBgn0264617	shared_fbgn	present
DMEL_CRE_00001	dbif	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dbir	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dbun	unmapped	NA	NA	NA	NA	NA	0	0	0	no	yes	yes	dbun_PEAK_00328	FBgn0004859	5175.0	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dequ	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dfor	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dfun	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dimm	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dkik	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dmir	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dnas	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dobs	mapped	NW_024542775.1	1362204	1362951	747	NA	0	0.000000	0.000000	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	no_peak_at_locus	no_detected_CRE
DMEL_CRE_00001	dper	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dpha	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dpse	unmapped	NA	NA	NA	NA	NA	0	0	0	no	yes	yes	dpse_PEAK_00031	FBgn0004859	0.0	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	druf	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dsub	mapped	NC_048535.1	1303344	1304335	991	dsub_PEAK_00058	606	0.611504	0.748148	yes	yes	yes	dsub_PEAK_00031	FBgn0004859	1505.0	FBgn0004859	FBgn0004859|FBgn0264617	shared_fbgn	present
DMEL_CRE_00001	dsul	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dsuz	mapped	NC_050699.1	127857	135067	7210	dsuz_PEAK_00150	593	0.082247	0.835211	no	yes	yes	dsuz_PEAK_00150	FBgn0004859	10421.0	FBgn0004859	FBgn0004859|FBgn0264617	shared_fbgn	turnover_candidate
DMEL_CRE_00001	dtei	mapped	NC_053033.1	159104	159668	564	NA	0	0.000000	0.000000	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	no_peak_at_locus	no_detected_CRE
DMEL_CRE_00001	dtro	unmapped	NA	NA	NA	NA	NA	0	0	0	no	yes	yes	dtro_PEAK_00001	FBgn0004859	8282.0	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	dvir	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	zdav	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	zind	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	ztub	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	d_affinis	unmapped	NA	NA	NA	NA	NA	0	0	0	no	yes	yes	d_affinis_PEAK_00361	FBgn0004859	5227.0	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	d_arizonae	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	d_bipectinata	unmapped	NA	NA	NA	NA	NA	0	0	0	no	yes	yes	d_bipectinata_PEAK_00053	FBgn0004859	0.0	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	d_buzzatii	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	d_ezoana	mapped	contig_108	568547	569327	780	NA	0	0.000000	0.000000	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	no_peak_at_locus	no_detected_CRE
DMEL_CRE_00001	d_hydei	unmapped	NA	NA	NA	NA	NA	0	0	0	no	yes	yes	d_hydei_PEAK_00207	FBgn0004859	5721.0	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	d_littoralis	mapped	JAEIGF010000234.1	1407484	1408203	719	NA	0	0.000000	0.000000	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	no_peak_at_locus	no_detected_CRE
DMEL_CRE_00001	d_lutescens	mapped	contig_275	4502	8844	4342	d_lutescens_PEAK_00243	700	0.161216	1.000000	no	yes	yes	d_lutescens_PEAK_00243	FBgn0004859	5582.0	FBgn0004859	FBgn0004859|FBgn0264617	shared_fbgn	turnover_candidate
DMEL_CRE_00001	d_mercatorum	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	d_mojavensis	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	d_novamexicana	mapped	NW_020824845.1	654189	654870	681	NA	0	0.000000	0.000000	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	no_peak_at_locus	no_detected_CRE
DMEL_CRE_00001	d_repleta	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	d_serrata	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	NA	uncertain
DMEL_CRE_00001	d_simulans	mapped	NC_052524.2	24674	25713	1039	NA	0	0.000000	0.000000	no	no	no	NA	NA	NA	NA	FBgn0004859|FBgn0264617	no_peak_at_locus	no_detected_CRE
DMEL_CRE_00002	dazt	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0039908|FBgn0262731	NA	uncertain
DMEL_CRE_00002	dbif	unmapped	NA	NA	NA	NA	NA	0	0	0	no	yes	yes	dbif_PEAK_00161	FBgn0039908	18605.0	NA	FBgn0039908|FBgn0262731	NA	uncertain
DMEL_CRE_00002	dbir	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0039908|FBgn0262731	NA	uncertain
DMEL_CRE_00002	dbun	unmapped	NA	NA	NA	NA	NA	0	0	0	no	yes	no	NA	NA	NA	NA	FBgn0039908|FBgn0262731	NA	uncertain
DMEL_CRE_00002	dequ	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0039908|FBgn0262731	NA	uncertain
DMEL_CRE_00002	dfor	unmapped	NA	NA	NA	NA	NA	0	0	0	no	no	no	NA	NA	NA	NA	FBgn0039908|FBgn0262731	NA	uncertain
