group_name	dmel_cre_id	tier1_scope	is_focal_tier1	is_singleton_tier1	species	role	expected_state	observed_class	alignment_status	target_chrom	target_start0	target_end0	best_peak_id	best_overlap_bp	best_overlap_fraction_lifted	best_overlap_fraction_peak	positional_peak	same_fbgn_peak_local	local_same_fbgn_peak_id	local_same_fbgn	best_local_same_fbgn_distance_bp	shared_fbgn_with_best_peak	gene_support_at_best_peak	species_qc
azteca_affinis_miranda_group	DMEL_CRE_00080	focal	yes	yes	d_affinis	consensus	turnover_candidate	turnover_candidate	mapped	contig_14	11545238	11546262		0	0.000000	0.000000	no	yes	d_affinis_PEAK_00134	FBgn0267001	0.0		no_peak_at_locus	PASS
azteca_affinis_miranda_group	DMEL_CRE_00080	focal	yes	yes	dmir	consensus	turnover_candidate	turnover_candidate	mapped	NC_046674.1	25908510	25909518		0	0.000000	0.000000	no	yes	dmir_PEAK_00217	FBgn0267001	0.0		no_peak_at_locus	PASS
azteca_affinis_miranda_group	DMEL_CRE_00080	focal	yes	yes	dper	consensus	turnover_candidate	turnover_candidate	mapped	NW_020825312.1	5948721	5949754		0	0.000000	0.000000	no	yes	dper_PEAK_00265	FBgn0267001	0.0		no_peak_at_locus	PASS
azteca_affinis_miranda_group	DMEL_CRE_00080	focal	yes	yes	dazt	discordant	present	present	mapped	VCKU01000014.1	2903569	2904574	dazt_PEAK_00445	620	0.616915	1.000000	yes	yes	dazt_PEAK_00054	FBgn0267001	0.0		discordant_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00309	focal	yes	yes	d_affinis	consensus	turnover_candidate	turnover_candidate	mapped	contig_14	340150	340607		0	0.000000	0.000000	no	yes	d_affinis_PEAK_00367	FBgn0052365	0.0		no_peak_at_locus	PASS
azteca_affinis_miranda_group	DMEL_CRE_00309	focal	yes	yes	dmir	consensus	turnover_candidate	turnover_candidate	mapped	NC_046674.1	10024808	10025289	dmir_PEAK_00513	219	0.455301	0.188793	no	yes	dmir_PEAK_00513	FBgn0016694	765.0	FBgn0016694	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00309	focal	yes	yes	dper	consensus	turnover_candidate	turnover_candidate	mapped	NW_020825332.1	577905	578720		0	0.000000	0.000000	no	yes	dper_PEAK_00392	FBgn0016694	0.0		no_peak_at_locus	PASS
azteca_affinis_miranda_group	DMEL_CRE_00309	focal	yes	yes	dazt	discordant	present	present	mapped	VCKU01000071.1	147045	147847	dazt_PEAK_00234	435	0.542394	0.630435	yes	yes	dazt_PEAK_00162	FBgn0052365	0.0	FBgn0016694|FBgn0052365	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00310	focal	yes	yes	d_affinis	consensus	present	present	mapped	contig_14	19091124	19091846	d_affinis_PEAK_00142	722	1.000000	0.902500	yes	yes	d_affinis_PEAK_00142	FBgn0003149	0.0	FBgn0003149|FBgn0040828	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00310	focal	yes	yes	dmir	consensus	present	present	mapped	NC_046674.1	7690404	7691066	dmir_PEAK_00382	590	0.891239	1.000000	yes	yes	dmir_PEAK_00382	FBgn0003149	0.0	FBgn0003149|FBgn0040828	shared_fbgn	PASS
azteca_affinis_miranda_group	DMEL_CRE_00310	focal	yes	yes	dper	consensus	present	present	mapped	NW_020825355.1	399832	400500	dper_PEAK_00160	668	1.000000	0.982353	yes	yes	dper_PEAK_00160	FBgn0003149	0.0	FBgn0003149|FBgn0040828	shared_fbgn	PASS
