group_name	dmel_cre_id	tier1_scope	is_focal_tier1	is_singleton_tier1	discordant_species	discordant_state	consensus_state	group_species	n_group_species	dmel_fbgn_target_genes	dmel_chrom	dmel_start0	dmel_end0	training_set	method	dmel_scrmshaw_score	dmel_rank	n_species_expected	n_species_passing_qc	candidate_qc
azteca_affinis_miranda_group	DMEL_CRE_00080	focal	yes	yes	dazt	present	turnover_candidate	dazt|d_affinis|dmir|dper	4	FBgn0267001|FBgn0030384	NC_004354.4	12347830	12348700	adult_muscle	imm	14.5023	230	4	4	PASS
azteca_affinis_miranda_group	DMEL_CRE_00309	focal	yes	yes	dazt	present	turnover_candidate	dazt|d_affinis|dmir|dper	4	FBgn0016694|FBgn0052365	NT_037436.4	7855190	7855780	adult_muscle	imm	10.3125	322	4	4	PASS
azteca_affinis_miranda_group	DMEL_CRE_00310	focal	yes	yes	dazt	turnover_candidate	present	dazt|d_affinis|dmir|dper	4	FBgn0003149|FBgn0040828	NT_037436.4	8744370	8745020	adult_muscle	imm	13.5706	156	4	4	PASS
azteca_affinis_miranda_group	DMEL_CRE_00330	focal	yes	yes	dazt	turnover_candidate	present	dazt|d_affinis|dmir|dper	4	FBgn0000567|FBgn0086080	NT_037436.4	17590310	17591140	adult_muscle	imm	19.8971	30	4	4	PASS
azteca_affinis_miranda_group	DMEL_CRE_00331	focal	yes	yes	dazt	turnover_candidate	present	dazt|d_affinis|dmir|dper	4	FBgn0000567|FBgn0036740	NT_037436.4	17606600	17607300	adult_muscle	imm	12.1868	246	4	4	PASS
immigrans_group	DMEL_CRE_00052	focal	yes	yes	dimm	turnover_candidate	present	dimm|dfor|dsul|dnas	4	FBgn0004198|FBgn0029952	NC_004354.4	7626840	7627730	adult_muscle	imm	18.9842	26	4	4	PASS
immigrans_group	DMEL_CRE_00077	focal	yes	yes	dimm	present	turnover_candidate	dimm|dfor|dsul|dnas	4	FBgn0267001|FBgn0030377	NC_004354.4	12173380	12174130	adult_muscle	imm	14.0475	146	4	4	PASS
obscura_group	DMEL_CRE_00065	focal	yes	yes	dsub	present	turnover_candidate	dsub|dbif|dobs	3	FBgn0261260|FBgn0266050	NC_004354.4	9467700	9468580	adult_muscle	imm	14.703	41	3	3	PASS
obscura_group	DMEL_CRE_00093	focal	yes	yes	dsub	present	turnover_candidate	dsub|dbif|dobs	3	FBgn0004169|FBgn0265865	NC_004354.4	13601300	13602210	adult_muscle	imm	19.7028	19	3	3	PASS
obscura_group	DMEL_CRE_00121	focal	yes	yes	dsub	turnover_candidate	present	dsub|dbif|dobs	3	FBgn0003380|FBgn0030886	NC_004354.4	18014510	18015060	adult_muscle	imm	10.6092	323	3	3	PASS
obscura_group	DMEL_CRE_00122	focal	yes	yes	dsub	turnover_candidate	present	dsub|dbif|dobs	3	FBgn0283471|FBgn0267165	NC_004354.4	18115660	18116890	adult_muscle	imm	49.3088	2	3	3	PASS
obscura_group	DMEL_CRE_00152	focal	yes	yes	dsub	turnover_candidate	present	dsub|dbif|dobs	3	FBgn0262127|FBgn0038256	NT_033777.3	14715810	14716660	adult_muscle	imm	10.7887	274	3	3	PASS
obscura_group	DMEL_CRE_00276	focal	yes	yes	dsub	turnover_candidate	present	dsub|dbif|dobs	3	FBgn0264695|FBgn0032602	NT_033779.5	16763230	16764290	adult_muscle	imm	54.3491	3	3	3	PASS
obscura_group	DMEL_CRE_00309	focal	yes	yes	dsub	present	turnover_candidate	dsub|dbif|dobs	3	FBgn0016694|FBgn0052365	NT_037436.4	7855190	7855780	adult_muscle	imm	10.3125	322	3	3	PASS
repleta_group	DMEL_CRE_00306	focal	yes	yes	d_repleta	turnover_candidate	present	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4	FBgn0035719|FBgn0266961	NT_037436.4	6943140	6943860	adult_muscle	imm	15.8506	85	4	4	PASS
rufa_group	DMEL_CRE_00151	focal	yes	yes	druf	turnover_candidate	present	druf|dkik|dbun|dbir|d_serrata	5	FBgn0262127|FBgn0038256	NT_033777.3	14713720	14714560	adult_muscle	imm	13.1775	107	5	5	PASS
rufa_group	DMEL_CRE_00154	focal	yes	yes	druf	turnover_candidate	present	druf|dkik|dbun|dbir|d_serrata	5	FBgn0262483|FBgn0038331	NT_033777.3	15375510	15376210	adult_muscle	imm	11.9077	195	5	5	PASS
teissieri_group	DMEL_CRE_00017	focal	yes	yes	dtei	present	turnover_candidate	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0015286|FBgn0283657	NC_004354.4	3718610	3719160	adult_muscle	imm	11.0178	305	4	4	PASS
teissieri_group	DMEL_CRE_00030	focal	yes	yes	dtei	turnover_candidate	present	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0266098|FBgn0266097	NC_004354.4	5224630	5225590	adult_muscle	imm	20.5583	13	4	4	PASS
teissieri_group	DMEL_CRE_00106	focal	yes	yes	dtei	present	turnover_candidate	dtei|d_simulans|d_lutescens|dsuz	4	FBgn0003463|FBgn0265596	NC_004354.4	15618270	15619020	adult_muscle	imm	16.3249	90	4	4	PASS
azteca_affinis_miranda_group	DMEL_CRE_00078	secondary_only	no	yes	d_affinis	turnover_candidate	present	dazt|d_affinis|dmir|dper	4	FBgn0267001|FBgn0267163	NC_004354.4	12270630	12271270	adult_muscle	imm	11.434	287	4	4	PASS
azteca_affinis_miranda_group	DMEL_CRE_00275	secondary_only	no	yes	dper	present	turnover_candidate	dazt|d_affinis|dmir|dper	4	FBgn0032602|FBgn0032601	NT_033779.5	16760700	16762600	adult_muscle	imm	48.5812	5	4	4	PASS
immigrans_group	DMEL_CRE_00080	secondary_only	no	yes	dnas	present	turnover_candidate	dimm|dfor|dsul|dnas	4	FBgn0267001|FBgn0030384	NC_004354.4	12347830	12348700	adult_muscle	imm	14.5023	230	4	4	PASS
immigrans_group	DMEL_CRE_00186	secondary_only	no	yes	dfor	turnover_candidate	present	dimm|dfor|dsul|dnas	4	FBgn0039588|FBgn0003137	NT_033777.3	28551870	28552630	adult_muscle	imm	15.4527	73	4	4	PASS
obscura_group	DMEL_CRE_00003	secondary_only	no	yes	dobs	turnover_candidate	present	dsub|dbif|dobs	3	FBgn0003575|FBgn0020381	NC_004354.4	635880	636710	adult_muscle	imm	11.6277	280	3	3	PASS
obscura_group	DMEL_CRE_00038	secondary_only	no	yes	dbif	present	turnover_candidate	dsub|dbif|dobs	3	FBgn0264386	NC_004354.4	6133360	6134170	adult_muscle	imm	17.6316	49	3	3	PASS
obscura_group	DMEL_CRE_00042	secondary_only	no	yes	dbif	present	turnover_candidate	dsub|dbif|dobs	3	FBgn0029895|FBgn0029894	NC_004354.4	6708780	6709390	adult_muscle	imm	12.6743	203	3	3	PASS
obscura_group	DMEL_CRE_00052	secondary_only	no	yes	dobs	turnover_candidate	present	dsub|dbif|dobs	3	FBgn0004198|FBgn0029952	NC_004354.4	7626840	7627730	adult_muscle	imm	18.9842	26	3	3	PASS
obscura_group	DMEL_CRE_00120	secondary_only	no	yes	dobs	present	turnover_candidate	dsub|dbif|dobs	3	FBgn0003380|FBgn0030886	NC_004354.4	18008140	18009060	adult_muscle	imm	20.6943	21	3	3	PASS
obscura_group	DMEL_CRE_00151	secondary_only	no	yes	dbif	present	turnover_candidate	dsub|dbif|dobs	3	FBgn0262127|FBgn0038256	NT_033777.3	14713720	14714560	adult_muscle	imm	13.1775	107	3	3	PASS
obscura_group	DMEL_CRE_00175	secondary_only	no	yes	dbif	present	turnover_candidate	dsub|dbif|dobs	3	FBgn0264490|FBgn0038919	NT_033777.3	21958030	21958700	adult_muscle	imm	11.1238	251	3	3	PASS
obscura_group	DMEL_CRE_00277	secondary_only	no	yes	dbif	turnover_candidate	present	dsub|dbif|dobs	3	FBgn0264695|FBgn0032602	NT_033779.5	16764940	16765980	adult_muscle	imm	28.6842	7	3	3	PASS
