dmel_cre_id	candidate_priority	priority_rank	n_total_tier1_clades	tier1_clades	n_focal_tier1_clades	focal_tier1_clades	n_secondary_only_clades	secondary_only_clades	has_focal_support	has_secondary_support	discordant_species	focal_discordant_species	secondary_discordant_species	discordant_states	consensus_states	tier1_state_directions	fbgn_target_genes	n_fbgn_target_genes	chrom	start0	end0	peak_amplitude	scrmshaw_score	rank	training_set	method	percent_candidate_retained	robust_candidate_all_9	robustness_class	percent_same_priority_as_primary	robust_priority_all_9	priority_stability	lost_in_scenarios	changed_priority_in_scenarios
DMEL_CRE_00309	focal_recurrent	1	2	azteca_affinis_miranda_group|obscura_group	2	azteca_affinis_miranda_group|obscura_group	0		yes	no	dazt|dsub	dazt|dsub		present	turnover_candidate	present->turnover_candidate	FBgn0016694|FBgn0052365	2	NT_037436.4	7855190	7855780	59.4	10.3125	322	adult_muscle	imm	66.66666666666666	no	moderate	33.33333333333333	no	variable	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:focal_plus_secondary_recurrent|ov025_dist24000:focal_plus_secondary_recurrent|ov025_dist48000:focal_plus_secondary_recurrent|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00052	focal_plus_secondary_recurrent	2	3	immigrans_group|obscura_group|rufa_group	1	immigrans_group	2	obscura_group|rufa_group	yes	yes	dimm|dkik|dobs	dimm	dkik|dobs	turnover_candidate	present	turnover_candidate->present	FBgn0004198|FBgn0029952	2	NC_004354.4	7626840	7627730	525.3	18.9842	26	adult_muscle	imm	100.0	yes	robust	66.66666666666666	no	variable		ov075_dist12000:secondary_single|ov075_dist24000:secondary_single|ov075_dist48000:secondary_single
DMEL_CRE_00065	focal_plus_secondary_recurrent	2	2	obscura_group|rufa_group	1	obscura_group	1	rufa_group	yes	yes	d_serrata|dsub	dsub	d_serrata	present	turnover_candidate	present->turnover_candidate	FBgn0261260|FBgn0266050	2	NC_004354.4	9467700	9468580	444.7	14.703	41	adult_muscle	imm	100.0	yes	robust	33.33333333333333	no	variable		ov025_dist12000:focal_recurrent|ov025_dist24000:focal_recurrent|ov025_dist48000:focal_recurrent|ov075_dist12000:focal_single|ov075_dist24000:focal_single|ov075_dist48000:focal_single
DMEL_CRE_00080	focal_plus_secondary_recurrent	2	2	azteca_affinis_miranda_group|immigrans_group	1	azteca_affinis_miranda_group	1	immigrans_group	yes	yes	dazt|dnas	dazt	dnas	present	turnover_candidate	present->turnover_candidate	FBgn0267001|FBgn0030384	2	NC_004354.4	12347830	12348700	99.6	14.5023	230	adult_muscle	imm	100.0	yes	robust	66.66666666666666	no	variable		ov075_dist12000:secondary_recurrent|ov075_dist24000:secondary_recurrent|ov075_dist48000:secondary_recurrent
DMEL_CRE_00310	focal_plus_secondary_recurrent	2	2	azteca_affinis_miranda_group|repleta_group	1	azteca_affinis_miranda_group	1	repleta_group	yes	yes	d_arizonae|dazt	dazt	d_arizonae	present|turnover_candidate	present|turnover_candidate	present->turnover_candidate|turnover_candidate->present	FBgn0003149|FBgn0040828	2	NT_037436.4	8744370	8745020	162.2	13.5706	156	adult_muscle	imm	100.0	yes	robust	100.0	yes	stable		
DMEL_CRE_00330	focal_plus_secondary_recurrent	2	3	azteca_affinis_miranda_group|rufa_group|teissieri_group	1	azteca_affinis_miranda_group	2	rufa_group|teissieri_group	yes	yes	d_lutescens|d_serrata|dazt	dazt	d_lutescens|d_serrata	turnover_candidate	present	turnover_candidate->present	FBgn0000567|FBgn0086080	2	NT_037436.4	17590310	17591140	480.7	19.8971	30	adult_muscle	imm	100.0	yes	robust	66.66666666666666	no	variable		ov075_dist12000:secondary_recurrent|ov075_dist24000:secondary_recurrent|ov075_dist48000:secondary_recurrent
DMEL_CRE_00331	focal_plus_secondary_recurrent	2	4	azteca_affinis_miranda_group|repleta_group|rufa_group|teissieri_group	1	azteca_affinis_miranda_group	3	repleta_group|rufa_group|teissieri_group	yes	yes	d_buzzatii|d_lutescens|d_serrata|dazt	dazt	d_buzzatii|d_lutescens|d_serrata	present|turnover_candidate	present|turnover_candidate	present->turnover_candidate|turnover_candidate->present	FBgn0000567|FBgn0036740	2	NT_037436.4	17606600	17607300	91.5	12.1868	246	adult_muscle	imm	100.0	yes	robust	100.0	yes	stable		
DMEL_CRE_00151	focal_plus_secondary_recurrent	2	3	obscura_group|rufa_group|teissieri_group	1	rufa_group	2	obscura_group|teissieri_group	yes	yes	dbif|druf|dsuz	druf	dbif|dsuz	present|turnover_candidate	present|turnover_candidate	present->turnover_candidate|turnover_candidate->present	FBgn0262127|FBgn0038256	2	NT_033777.3	14713720	14714560	220.8	13.1775	107	adult_muscle	imm	66.66666666666666	no	moderate	33.33333333333333	no	variable	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:focal_recurrent|ov025_dist24000:focal_recurrent|ov025_dist48000:focal_recurrent|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00152	focal_plus_secondary_recurrent	2	2	obscura_group|teissieri_group	1	obscura_group	1	teissieri_group	yes	yes	d_simulans|dsub	dsub	d_simulans	present|turnover_candidate	present|turnover_candidate	present->turnover_candidate|turnover_candidate->present	FBgn0262127|FBgn0038256	2	NT_033777.3	14715810	14716660	78.8	10.7887	274	adult_muscle	imm	66.66666666666666	no	moderate	66.66666666666666	no	variable	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00078	secondary_recurrent	3	2	azteca_affinis_miranda_group|teissieri_group	0		2	azteca_affinis_miranda_group|teissieri_group	no	yes	d_affinis|dsuz		d_affinis|dsuz	present|turnover_candidate	present|turnover_candidate	present->turnover_candidate|turnover_candidate->present	FBgn0267001|FBgn0267163	2	NC_004354.4	12270630	12271270	72.1	11.434	287	adult_muscle	imm	100.0	yes	robust	66.66666666666666	no	variable		ov075_dist12000:secondary_single|ov075_dist24000:secondary_single|ov075_dist48000:secondary_single
